Ref.,H/V,Marque / type Modèle (ou fonctionnement),Calibre,Pression de contrôle ( bar ),Débit nominal (l/min),JEU N°,N° Buse,Débit mesuré (l/min),Pression mesurée (bar),L/R
TEST BUSES TEEJET XR ROUGE,H,TEEJET-XR - buse à fente standard,rouge - 04,3,1.58,1,1,1.614,2.845,-
TEST BUSES TEEJET XR ROUGE,H,TEEJET-XR - buse à fente standard,rouge - 04,3,1.58,1,2,1.622,2.838,-
TEST BUSES TEEJET XR ROUGE,H,TEEJET-XR - buse à fente standard,rouge - 04,3,1.58,1,3,1.628,2.832,-
TEST BUSES TEEJET XR ROUGE,H,TEEJET-XR - buse à fente standard,rouge - 04,3,1.58,1,4,1.627,2.832,-
TEST BUSES TEEJET XR ROUGE,H,TEEJET-XR - buse à fente standard,rouge - 04,3,1.58,1,5,1.616,2.830,-
TEST BUSES TEEJET XR ROUGE,H,TEEJET-XR - buse à fente standard,rouge - 04,3,1.58,1,6,1.621,2.826,-
TEST BUSES TEEJET XR ROUGE,H,TEEJET-XR - buse à fente standard,rouge - 04,3,1.58,1,7,1.612,2.827,-
TEST BUSES TEEJET XR ROUGE,H,TEEJET-XR - buse à fente standard,rouge - 04,3,1.58,1,8,1.611,2.825,-
TEST BUSES TEEJET XR ROUGE,H,TEEJET-XR - buse à fente standard,rouge - 04,3,1.58,1,9,1.638,2.824,-
TEST BUSES TEEJET XR ROUGE,H,TEEJET-XR - buse à fente standard,rouge - 04,3,1.58,1,10,1.622,2.819,-
