Ref.,H/V,Marque Modèle (ou fonctionnement),Calibre,Pression de contrôle (bar),Débit nominal (l/min),Set,"",Débit mesuré (l/min),Pression mesurée (bar),L/R
TEST 09-21,H,ALBUZ-ADE - buse à fente à réduction de dérive,jaune,3,0.61,1,1,0.59,3,-
TEST 09-21,H,ALBUZ-ADE - buse à fente à réduction de dérive,jaune,3,0.61,2,2,0.65,3,-
TEST 09-21,H,ALBUZ-ADE - buse à fente à réduction de dérive,jaune,3,0.61,3,3,0.63,3,-
TEST 09-21,H,ALBUZ-ADE - buse à fente à réduction de dérive,jaune,3,0.61,4,4,0.57,3,-
TEST 09-21,H,ALBUZ-ADE - buse à fente à réduction de dérive,jaune,3,0.61,5,5,0.62,3,-
TEST 09-21,H,ALBUZ-ADE - buse à fente à réduction de dérive,jaune,3,0.61,6,6,0.61,3,-
TEST 09-21,H,ALBUZ-ADE - buse à fente à réduction de dérive,jaune,3,0.61,7,7,0.59,3,-
TEST 09-21,H,ALBUZ-ADE - buse à fente à réduction de dérive,jaune,3,0.61,8,8,0.61,3,-
TEST 09-21,H,ALBUZ-ADE - buse à fente à réduction de dérive,jaune,3,0.61,9,9,0.61,3,-
TEST 09-21,H,ALBUZ-ADE - buse à fente à réduction de dérive,jaune,3,0.61,10,10,0.61,3,-
