Marque;Modèle;Type;Fonctionnement;ISO;Angle;Couleur;calibre;Débit à 2 bar;Débit à 3 bar;Débit à 5 bar;TOLERANCE
Albuz;AXI;FENTE;STANDARD;oui;110;orange;10;;0.4;;15
;;;;;;verte;15;;0.6;;15
;;;;;;jaune;2;;0.8;;15
;;;;;;lilas;25;;1;;10
;;;;;;bleu;3;;1.2;;10
;;;;;;rouge;4;;1.6;;10
;;;;;;marron;5;;2;;10
;;;;;;GRIS;6;;2.4;;10
;;;;;;blanche;8;;3.2;;10
;FASTCAP AXI;FENTE;STANDARD;oui;110;orange;10;;0.4;;15
;;;;;;verte;15;;0.6;;15
;;;;;;jaune;2;;0.8;;15
;;;;;;lilas;25;;1;;10
;;;;;;bleu;3;;1.2;;10
;;;;;;rouge;4;;1.6;;10
;;;;;;marron;5;;2;;10
;;;;;;GRIS;6;;2.4;;10
;;;;;;blanche;8;;3.2;;10
;APE;FENTE;STANDARD;non;110;jaune;;;0.61;;15
;;;;;;ORANGE;;;0.85;;15
;;;;;;ROUGE;;;1.21;;10
;;;;;;VERT;;;1.71;;10
;;;;;;TURQUOISE;;;2.07;;10
;;;;;;BLEU;;;2.42;;10
;;;;;;GRIS;;;3.41;;10
;;;;;;NOIR;;;4.83;;10
;;;;;;IVOIRE;;;6.88;;10
;;;;;;BLANC;;;9.7;;10
;API;FENTE;STANDARD;oui;110;;;;;;
;ADE;FENTE;PASTILLE / CHAMBRE;oui;110;marron;;;0.43;;15
;;;;;;JAUNE;;;0.61;;15
;;;;;;ORANGE;;;0.85;;15
;;;;;;ROUGE;;;1.21;;10
;;;;;;VERT;;;1.71;;10
;ADI;FENTE;PASTILLE / CHAMBRE;oui;110;ORANGE;10;;0.4;;15
;;;;;;VERT;15;;0.6;;15
;;;;;;JAUNE;2;;0.8;;15
;;;;;;LILAS;25;;1;;10
;;;;;;BLEU;3;;1.2;;10
;;;;;;ROUGE;4;;1.6;;10
;CVI;FENTE;INJECTION D'AIR LIBRE;oui;110;VERT;15;;0.6;;15
;;;;;;JAUNE;2;;0.8;;15
;;;;;;LILAS;25;;1;;10
;;;;;;BLEU;3;;1.2;;10
;;;;;;ROUGE;4;;1.6;;10
;;;;;;MARRON;5;;2;;10
