Code_commune_INSEE;Nom_commune;Code_postal;Libellé_d_acheminement
2547;LA NEUVILLE HOUSSET;02250;LA NEUVILLE HOUSSET
2554;NOGENTEL;02400;NOGENTEL
2559;NOUVION ET CATILLON;02270;NOUVION ET CATILLON
2562;NOUVRON VINGRE;02290;NOUVRON VINGRE
2569;OISY;02450;OISY
2552;NEUVILLETTE;02390;NEUVILLETTE
2575;ORIGNY STE BENOITE;02390;ORIGNY STE BENOITE
2559;NOUVION ET CATILLON;02270;NOUVION ET CATILLON
2578;OULCHES LA VALLEE FOULON;02160;OULCHES LA VALLEE FOULON
2560;NOUVION LE COMTE;02800;NOUVION LE COMTE
2580;OULCHY LE CHATEAU;02210;OULCHY LE CHATEAU
2564;NOYANT ET ACONIN;02200;NOYANT ET ACONIN
2585;PARCY ET TIGNY;02210;PARCY ET TIGNY
2567;OHIS;02500;OHIS
2591;PARGNY LES BOIS;02270;PARGNY LES BOIS
2570;OLLEZY;02480;OLLEZY
2593;PASLY;02200;PASLY
2576;OSLY COURTIL;02290;OSLY COURTIL
2607;PLOISY;02200;PLOISY
2587;PARFONDRU;02840;PARFONDRU
2614;PONTRU;02490;PONTRU
2588;PARGNAN;02160;PARGNAN
2622;PRIEZ;02470;PRIEZ
2590;PARGNY LA DHUYS;02330;PARGNY LA DHUYS
2624;PROISY;02120;PROISY
2605;PLEINE SELVE;02240;PLEINE SELVE
2634;RAILLIMONT;02360;RAILLIMONT
2608;PLOMION;02140;PLOMION
2651;ROGECOURT;02800;ROGECOURT
2618;PREMONT;02110;PREMONT
2655;RONCHERES;02130;RONCHERES
2620;PRESLES ET BOVES;02370;PRESLES ET BOVES
2657;ROUGERIES;02140;ROUGERIES
2623;PRISCES;02140;PRISCES
2663;ROZIERES SUR CRISE;02200;ROZIERES SUR CRISE
2626;PROUVAIS;02190;PROUVAIS
2666;ROZOY SUR SERRE;02360;ROZOY SUR SERRE
2635;RAMICOURT;02110;RAMICOURT
2678;STE GENEVIEVE;02340;STE GENEVIEVE
2643;RESSONS LE LONG;02290;RESSONS LE LONG
2687;ST PIERRE AIGLE;02600;ST PIERRE AIGLE
2645;REUILLY SAUVIGNY;02850;REUILLY SAUVIGNY
