N°;Débit (l/min);Pression;Ref
001;1.2080;2.974;1.213
002;1.2480;3.006;1.247
003;1.2480;3.008;1.246
004;1.1770;3.016;1.174
005;1.2080;2.974;1.213
006;1.2190;2.998;1.219
007;1.2250;3.016;1.222
008;1.2250;2.974;1.230
009;1.1910;3.016;1.188
010;1.1910;3.017;1.188
011;1.2260;2.980;1.230
012;1.2190;3.017;1.216
013;1.2080;2.974;1.213
014;1.2080;3.016;1.205
015;1.2190;3.017;1.216
016;1.2080;2.974;1.213
017;1.1770;3.016;1.174
018;1.1590;3.017;1.156
019;1.2480;3.016;1.245
020;1.2490;3.017;1.245
021;1.1910;3.017;1.188
022;1.1470;3.017;1.144
023;1.1900;3.016;1.187
024;1.2380;3.017;1.235
