Ref.,H/V,Marque / type Modèle (ou fonctionnement),Calibre,Pression de contrôle ( bar ),Débit nominal (l/min),JEU N°,N° Buse,Débit mesuré (l/min),Pression mesurée (bar),L/R
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,1,"0,580","3,103",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,2,"0,496","3,101",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,3,"0,589","3,060",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,4,"0,496","3,028",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,5,"0,504","2,999",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,6,"0,482","2,998",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,7,"0,591","2,987",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,8,"0,504","2,982",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,9,"0,395","2,991",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,10,"0,497","2,991",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,11,"0,633","2,990",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,12,"0,573","2,981",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,13,"0,491","2,982",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,14,"0,586","2,958",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,15,"0,599","2,976",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,16,"0,624","2,970",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,17,"0,413","2,977",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,18,"0,511","3,014",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,19,"0,398","2,955",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,20,"0,591","2,950",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,21,"0,653","2,938",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,22,"0,444","2,960",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,23,"0,435","2,948",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,24,"0,625","2,953",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,25,"0,570","2,958",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,26,"0,598","2,952",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,27,"0,604","2,952",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,28,"0,384","2,967",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,29,"0,397","2,960",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,30,"0,497","2,950",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,31,"0,508","2,950",-
CHARLES1,H,TEEJET-XR - buse à fente standard,orange - 01,3,"0,39",1,32,"0,597","2,948",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,1,"0,553","2,961",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,2,"0,593","2,968",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,3,"0,543","2,957",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,4,"0,598","2,957",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,5,"0,609","2,947",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,6,"0,526","2,943",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,7,"0,608","2,960",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,8,"0,595","2,946",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,9,"0,603","2,960",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,10,"0,619","2,954",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,11,"0,592","2,955",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,12,"0,612","2,949",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,13,"0,592","2,958",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,14,"0,572","2,941",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,15,"0,598","2,959",-
CHARLES1,H,BUSES A FENTE-,gris - 06,3,"0,59",2,16,"0,604","2,936",-
