***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.74927835051545;1.7443298969072;1.75979381443297;16.6185567010297;-3;
2;2.09690721649483;2.08762886597936;2.10309278350514;4.84536082474141;0;
3;3.23597938144328;3.21340206185565;3.24432989690719;7.86597938144252;-2;
4;4.31195876288657;4.15360824742265;5.67525773195873;7.79896907216426;-2;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;3.27;3.32;3.34788937409024;1.52905198776759;
2;3.27;3.32;3.34788937409024;1.52905198776759;
3;3.35;3.44;0.73206442166912;2.6865671641791;
4;3.35;3.44;0.73206442166912;2.6865671641791;
5;3.35;3.45;1.07421875;2.98507462686567;
6;3.35;3.45;1.07421875;2.98507462686567;
7;3.38;3.51;3.1341821743389;3.84615384615386;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;Jaune;;0.79;;1;1;1;1;0.58596446117697;3.26137218045115;;0.56199405698747;
;;TEEJET XR;Jaune;;0.79;;1;1;2;2;0.75189351703514;3.24483552631582;;0.72297057783045;
;;TEEJET XR;Jaune;;0.79;;1;1;3;3;0.79038905799423;3.25504934210529;;0.75879202640075;
;;TEEJET XR;Jaune;;0.79;;1;1;4;4;0.78667224714301;3.27093750000003;;0.7533873668648;
;;TEEJET XR;Jaune;;0.79;;1;1;5;5;0.76622978746129;3.27131578947371;;0.7337674183594;
;;TEEJET XR;Jaune;;0.79;;1;1;6;6;0.77950411192994;3.23533625730997;;0.75061860622688;
;;TEEJET XR;Jaune;;0.79;;1;1;7;7;0.77100854427;3.24559210526318;;0.74126389808909;
;;TEEJET XR;Jaune;;0.79;;1;1;8;8;0.81454832852718;3.24796992481206;;0.78283725353614;
;;TEEJET XR;Jaune;;0.79;;2;1;1;9;0.87932703193421;4.04189144736845;;0.7575629540458;
;;TEEJET XR;Jaune;;0.79;;2;1;2;10;0.85357484246502;4.03659539473687;;0.73585903018417;
;;TEEJET XR;Jaune;;0.79;;2;1;3;11;0.81985805831464;4.02978618421056;;0.70738898866848;
;;TEEJET XR;Jaune;;0.79;;2;1;4;12;0.83897308554951;4.04907894736845;;0.72215518513627;
;;TEEJET XR;Jaune;;0.79;;2;1;5;13;0.84428281533697;4.01389802631582;;0.72990343844385;
;;TEEJET XR;Jaune;;0.79;;2;1;6;14;0.85171643703941;3.91440789473687;;0.7456287010085;
;;TEEJET XR;Jaune;;0.79;;2;1;7;15;0.84056600448574;4.00195488721808;;0.7277736957285;
;;TEEJET XR;Jaune;;0.79;;2;1;8;16;0.85808811278437;4.04340460526319;;0.73912673648997;
;;TEEJET XR;Jaune;;0.79;;3;1;1;17;0.80711470682474;4.16899671052635;;0.68466812881295;
;;TEEJET XR;Jaune;;0.79;;3;1;2;18;0.8538403289544;4.11792763157898;;0.72878250090136;
;;TEEJET XR;Jaune;;0.79;;3;1;3;19;0.83472530171954;4.13873355263161;;0.71067407222592;
;;TEEJET XR;Jaune;;0.79;;3;1;4;20;0.89445976182848;4.08804276315793;;0.7662380606063;
;;TEEJET XR;Jaune;;0.79;;3;1;5;21;0.92233584321265;4.12689849624063;;0.78638970619659;
;;TEEJET XR;Jaune;;0.79;;3;1;6;22;0.94516768129873;4.15889097744364;;0.80275075479403;
;;TEEJET XR;Jaune;;0.79;;3;1;7;23;0.95366324895867;4.14629934210529;;0.81119515415274;
;;TEEJET XR;Jaune;;0.79;;3;1;8;24;0.6478228132009;4.00973684210529;;0.5603494236814;
;;TEEJET XR;Jaune;;0.79;;4;1;1;25;0.70941567873545;4.03344298245617;;0.61181968893818;
;;TEEJET XR;Jaune;;0.79;;4;1;2;26;0.74552184129019;4.01692434210529;;0.64427929194071;
;;TEEJET XR;Jaune;;0.79;;4;1;3;27;0.8015394905479;4.00860197368424;;0.69340837628878;
;;TEEJET XR;Jaune;;0.79;;4;1;4;28;0.83897308554951;3.99806390977447;;0.72674790765511;
;;TEEJET XR;Jaune;;0.79;;4;1;5;29;0.85171643703941;4.03092105263161;;0.73477354224357;
;;TEEJET XR;Jaune;;0.79;;4;1;6;30;0.8262297340596;4.01843750000003;;0.71389253145729;
;;TEEJET XR;Jaune;;0.79;;4;1;7;31;0.84056600448574;3.96131578947372;;0.73149728145179;
;;TEEJET XR;Jaune;;0.79;;4;1;8;32;0.79410586884546;4.02184210526319;;0.68584586532392;
;;TEEJET XR;Jaune;;0.79;;5;1;1;33;0.92047743778704;4.12036549707606;;0.78542714042526;
;;TEEJET XR;Jaune;;0.79;;5;1;2;34;0.8814509238492;4.02313909774439;;0.76116049607478;
;;TEEJET XR;Jaune;;0.79;;5;1;3;35;0.83684919363452;4.14667763157898;;0.71179952251718;
;;TEEJET XR;Jaune;;0.79;;5;1;4;36;0.87959251842358;4.15462171052635;;0.74744012927266;
;;TEEJET XR;Jaune;;0.79;;5;1;5;37;0.88357481576418;4.05286184210529;;0.7601915826864;
;;TEEJET XR;Jaune;;0.79;;5;1;6;38;0.90189338353092;4.06656432748541;;0.77464372086795;
;;TEEJET XR;Jaune;;0.79;;5;1;7;39;0.91755708640393;4.14402960526319;;0.78069661503685;
;;TEEJET XR;Jaune;;0.79;;5;1;8;40;0.90906151874399;4.10657894736845;;0.77698710870165;
;;TEEJET XR;Jaune;;0.79;;6;1;1;41;0.90561019438214;4.27345864661657;;0.75877353903258;
;;TEEJET XR;Jaune;;0.79;;6;1;2;42;0.85357484246502;4.33657894736845;;0.70995137619864;
;;TEEJET XR;Jaune;;0.79;;6;1;3;43;0.91330930257396;4.20304276315793;;0.77160779120546;
;;TEEJET XR;Jaune;;0.79;;6;1;4;44;0.90375178895653;4.25357142857146;;0.75898454448708;
;;TEEJET XR;Jaune;;0.79;;6;1;5;45;0.90056595108406;4.19088345864665;;0.76194453479075;
;;TEEJET XR;Jaune;;0.79;;6;1;6;46;0.91118541065898;4.2563815789474;;0.76497476231586;
;;TEEJET XR;Jaune;;0.79;;6;1;7;47;0.90268984299904;4.11868421052635;;0.77040649550222;
;;TEEJET XR;Jaune;;0.79;;6;1;8;48;0.9218048702339;4.33657894736845;;0.76670094249642;
;;TEEJET XR;Jaune;;0.79;;7;1;1;49;0.89207038342412;4.33657894736845;;0.7419696139931;
;;TEEJET XR;Jaune;;0.79;;7;1;2;50;0.90056595108406;4.32371710526319;;0.75014896582037;
;;TEEJET XR;Jaune;;0.79;;7;1;3;51;0.91676062693581;4.26092105263161;;0.7692452735568;
;;TEEJET XR;Jaune;;0.79;;7;1;4;52;0.90189338353092;4.26092105263161;;0.75677030857248;
;;TEEJET XR;Jaune;;0.79;;7;1;5;53;0.8981765726797;4.28815789473687;;0.75125429227808;
;;TEEJET XR;Jaune;;0.79;;7;1;6;54;0.88516773470042;4.35776315789477;;0.73443673453876;
;;TEEJET XR;Jaune;;0.79;;7;1;7;55;0.8941942753391;4.33355263157898;;0.74399578442503;
;;TEEJET XR;Jaune;;0.79;;7;1;8;56;0.90622966285735;4.28702302631582;;0.75809039251201;

***Vitesse***
Parcours;Distance;Temps;Vitesse mesuree(km/h);Vitesse compteur(km/h);
1;55.59;21;9.52971428571429;10;
2;0;0;0;0;

***Debit***
Mesure;Debit theorique ( L/min);Debit affiche(L/min);erreur(%);
1;19.6917261294457;31.2;58.4421791919274

