***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1;3.9708154506438;3.81437768240345;4.274678111588;297.08154506438;-3;
2;3.86137339055796;3.84978540772534;3.86909871244637;93.0686695278979;-3;
3;3.86716738197427;3.85300429184551;3.87231759656654;28.9055793991423;-3;
4;3.85686695278972;3.8208154506438;3.87231759656654;3.57832618025704;-2;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;2.93;2.65;1.11940298507464;9.55631399317407;
2;2.93;2.65;1.11940298507464;9.55631399317407;
3;2.93;2.65;1.11940298507464;9.55631399317407;
4;2.94;2.64;1.53336096145876;10.2040816326531;
5;2.94;2.64;1.53336096145876;10.2040816326531;
6;0.12;2.74;2.62172284644196;2183.33333333333;
7;0.12;2.72;1.78794178794178;2166.66666666667;
8;0.12;2.72;1.78794178794178;2166.66666666667;
9;0.12;2.68;0.12453300124533;2133.33333333333;
10;0.12;2.68;0.12453300124533;2133.33333333333;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;bleu;;1.18;;1;1;1;1;1.22552141407669;2.84776315789475;;1.25785215471038;
;;TEEJET XR;bleu;;1.18;;1;1;2;2;1.23189308982164;2.86440789473685;;1.26071295442806;
;;TEEJET XR;bleu;;1.18;;1;1;3;3;1.13419406173235;2.83733918128656;;1.16625191217705;
;;TEEJET XR;bleu;;1.18;;1;1;4;4;1.0933091423689;2.82052631578949;;1.12755706125381;
;;TEEJET XR;bleu;;1.18;;1;1;5;5;1.07684898002777;2.83792763157896;;1.10717117405909;
;;TEEJET XR;bleu;;1.18;;1;1;6;6;1.12357460215743;2.83263157894738;;1.15629193034704;
;;TEEJET XR;bleu;;1.18;;1;1;7;7;1.13631795364734;2.8250657894737;;1.17097119763221;
;;TEEJET XR;bleu;;1.18;;1;1;8;8;1.10870735875254;2.82884868421054;;1.14175441235784;
;;TEEJET XR;bleu;;1.18;;2;1;1;9;1.0933091423689;2.82809210526317;;1.1260478154144;
;;TEEJET XR;bleu;;1.18;;2;1;2;10;1.08587552066646;2.83641447368422;;1.11674964658961;
;;TEEJET XR;bleu;;1.18;;2;1;3;11;1.00224727651394;2.73692434210528;;1.0493107352301;
;;TEEJET XR;bleu;;1.18;;2;1;4;12;1.044990601303;2.72301169590644;;1.09685257310025;
;;TEEJET XR;bleu;;1.18;;2;1;5;13;1.0598578447079;2.74070723684212;;1.10886052425814;
;;TEEJET XR;bleu;;1.18;;2;1;6;14;1.05428262843106;2.72935855263159;;1.10531835476224;
;;TEEJET XR;bleu;;1.18;;2;1;7;15;1.05348616896294;2.73060150375941;;1.10423193503069;
;;TEEJET XR;bleu;;1.18;;2;1;8;16;1.05242422300545;2.7267105263158;;1.10390562272717;
;;TEEJET XR;bleu;;1.18;;3;1;1;17;1.05799943928228;2.73541118421054;;1.10798723191487;
;;TEEJET XR;bleu;;1.18;;3;1;2;18;1.06543306098473;2.73730263157896;;1.11538651339879;
;;TEEJET XR;bleu;;1.18;;3;1;3;19;1.08109676385774;2.73016917293234;;1.13326223206748;
;;TEEJET XR;bleu;;1.18;;3;1;4;20;1.06357465555912;2.7244407894737;;1.11606610873626;
;;TEEJET XR;bleu;;1.18;;3;1;5;21;0.99853046566272;2.72141447368422;;1.04839418201453;
;;TEEJET XR;bleu;;1.18;;3;1;6;22;1.0322472498131;2.72595394736843;;1.08289189837517;
