***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;3.93185567010307;3.3123711340206;4.01134020618554;162.123711340204;-3;
2;2.89484536082472;2.88556701030926;2.90412371134018;44.742268041236;-3;
3;1.98773195876287;1.83711340206184;2.02268041237112;33.7422680412377;-3;
4;1.61567010309277;1.59278350515462;1.62371134020617;59.6082474226808;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;-0.03;3.02;4.46816923685253;2920;
2;-0.03;3.04;3.75939849624063;2940;
3;-0.03;3.04;3.75939849624063;2940;
4;-0.03;3.04;3.75939849624063;2940;
5;-0.03;3.03;4.11392405063292;2930;
6;3.04;3.05;3.40459224069676;0.32894736842106;
7;3.04;3.37;8.09943865276662;10.8552631578947;
8;3.04;3.37;8.09943865276662;10.8552631578947;
9;-0.03;3.35;7.37179487179486;3250;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;bleu;;1.18;;1;1;1;1;0.9494154651287;3.0318585526316;;0.9444140970559;
;;TEEJET XR;bleu;;1.18;;1;1;2;2;0.95021192459682;3.04736842105266;;0.94279793414367;
;;TEEJET XR;bleu;;1.18;;1;1;3;3;0.8665836804443;3.11508223684213;;0.85042569832739;
;;TEEJET XR;bleu;;1.18;;1;1;4;4;0.97490216810851;3.11913533834589;;0.95610272075005;
;;TEEJET XR;bleu;;1.18;;1;1;5;5;1.03569857417495;3.13664473684213;;1.01288779850424;
;;TEEJET XR;bleu;;1.18;;1;1;6;6;1.08746843960269;3.12264802631582;;1.06589830522636;
;;TEEJET XR;bleu;;1.18;;1;1;7;7;0.99295524938588;3.06893092105266;;0.98174058942707;
;;TEEJET XR;bleu;;1.18;;1;1;8;8;1.06357465555912;3.08822368421055;;1.04827259566931;
;;TEEJET XR;bleu;;1.18;;2;1;1;9;1.08322065577272;3.06984962406018;;1.0708262508487;
;;TEEJET XR;bleu;;1.18;;2;1;2;10;1.0765834935384;3.04320723684213;;1.0689135444744;
;;TEEJET XR;bleu;;1.18;;2;1;3;11;1.07472508811279;3.0534210526316;;1.06528219075005;
;;TEEJET XR;bleu;;1.18;;2;1;4;12;1.08959233151768;3.05140350877196;;1.08037579294301;
;;TEEJET XR;bleu;;1.18;;2;1;5;13;0.98180481683221;3.06741776315792;;0.9709554900838;
;;TEEJET XR;bleu;;1.18;;2;1;6;14;1.07844189896401;3.07838815789476;;1.0646226214717;
;;TEEJET XR;bleu;;1.18;;2;1;7;15;1.08534454768771;3.06363486842108;;1.07401353468548;
;;TEEJET XR;bleu;;1.18;;2;1;8;16;1.08215870981523;3.07195723684213;;1.06940941602687;
;;TEEJET XR;bleu;;1.18;;3;1;1;17;1.08401711524084;3.07687500000003;;1.07038949946758;
;;TEEJET XR;bleu;;1.18;;3;1;2;18;1.08215870981523;3.04207236842108;;1.0746494380416;
;;TEEJET XR;bleu;;1.18;;3;1;3;19;1.0726011961978;3.04131578947371;;1.06529072539644;
;;TEEJET XR;bleu;;1.18;;3;1;4;20;1.0765834935384;3.05039473684213;;1.06765348671675;
;;TEEJET XR;bleu;;1.18;;3;1;5;21;1.05428262843106;3.05471804511281;;1.04479747123702;
;;TEEJET XR;bleu;;1.18;;3;1;6;22;1.06835341236783;3.07330827067672;;1.05553467932718;
;;TEEJET XR;bleu;;1.18;;3;1;7;23;1.06914987183595;3.05455592105266;;1.05955907474386;
;;TEEJET XR;bleu;;1.18;;3;1;8;24;1.00968089821639;3.04850328947371;;1.00161641519396;
;;TEEJET XR;bleu;;1.18;;4;1;1;25;1.06171625013351;3.05442982456143;;1.0522138549425;
;;TEEJET XR;bleu;;1.18;;4;1;2;26;1.06914987183595;3.06033834586469;;1.0585575976451;
;;TEEJET XR;bleu;;1.18;;4;1;3;27;1.07100827726156;3.04568713450295;;1.06294504126533;
;;TEEJET XR;bleu;;1.18;;4;1;4;28;1.06543306098473;3.05644736842108;;1.05554884669374;
;;TEEJET XR;bleu;;1.18;;4;1;5;29;1.06622952045285;3.04088345864664;;1.05903775188158;
;;TEEJET XR;bleu;;1.18;;4;1;6;30;1.04711449321799;3.05947368421055;;1.03688701807991;
;;TEEJET XR;bleu;;1.18;;4;1;7;31;1.07100827726156;3.05417763157897;;1.06146653971286;
;;TEEJET XR;bleu;;1.18;;4;1;8;32;1.0726011961978;3.05947368421055;;1.06212478493787;
;;TEEJET XR;bleu;;1.18;;5;1;1;33;0.87401730214675;3.10054511278198;;0.8597291062269;
;;TEEJET XR;bleu;;1.18;;5;1;2;34;0.99295524938588;3.07649671052634;;0.9805326871446;
;;TEEJET XR;bleu;;1.18;;5;1;3;35;0.99708503922057;3.07426900584798;;0.98496748463362;
