***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.62835051546391;1.60824742268041;1.63917525773195;8.55670103092739;-2;
2;2.15536082474226;2.14639175257731;2.17113402061855;7.76804123711297;-2;
3;3.12556701030927;3.1082474226804;3.1422680412371;4.18556701030887;-2;
4;3.13082474226803;3.10515463917525;3.17319587628865;21.7293814432993;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;2.42;3.08;45.8851391355831;27.2727272727273;
2;2.42;3.06;44.7664104080425;26.4462809917355;
3;2.42;3.06;44.7664104080425;26.4462809917355;
4;2.42;3.06;44.7664104080425;26.4462809917355;
5;1.28;1.56;32.2107550244433;21.875;
6;1.28;1.56;32.2107550244433;21.875;
7;1.28;1.53;33.6225596529284;19.53125;
8;1.28;1.53;33.6225596529284;19.53125;
9;1.27;1.53;33.6225596529284;20.4724409448819;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;bleu;;1.18;;1;1;1;1;1.41481328099968;4.73172932330831;;1.12654827985747;
;;TEEJET XR;bleu;;1.18;;1;1;2;2;1.30410541493111;4.72654135338349;;1.03896661961905;
;;TEEJET XR;bleu;;1.18;;1;1;3;3;1.34976909110328;4.71449013157898;;1.07671990226256;
;;TEEJET XR;bleu;;1.18;;1;1;4;4;1.38481330770053;4.73643092105267;;1.10211332156866;
;;TEEJET XR;bleu;;1.18;;1;1;5;5;1.35720271280573;4.72167763157898;;1.08182541523903;
;;TEEJET XR;bleu;;1.18;;1;1;6;6;1.37392836163623;4.72432565789477;;1.09485045350543;
;;TEEJET XR;bleu;;1.18;;1;1;7;7;1.35534430738012;4.73951127819552;;1.0783096277593;
;;TEEJET XR;bleu;;1.18;;1;1;8;8;1.36463633450817;4.73453947368424;;1.08627225460108;
;;TEEJET XR;bleu;;1.18;;1;1;9;9;1.3614504966357;4.73832236842109;;1.08330358381379;
;;TEEJET XR;bleu;;1.18;;1;1;10;10;1.29773373918616;4.51853618421056;;1.05741956312338;
;;TEEJET XR;bleu;;1.18;;2;1;1;11;1.36091952365695;4.52042763157898;;1.1086725922689;
;;TEEJET XR;bleu;;1.18;;2;1;2;12;1.30888417173983;4.5079440789474;;1.0677573834259;
;;TEEJET XR;bleu;;1.18;;2;1;3;13;1.24569838726904;4.50864661654139;;1.01613270814235;
;;TEEJET XR;bleu;;1.18;;2;1;4;14;1.31260098259105;4.50643092105266;;1.0709692300003;
