***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.52575107296138;1.51609442060087;1.53862660944207;1.71673819742537;0;
2;2.05718884120173;2.04077253218885;2.06652360515022;2.85944206008633;0;
3;3.06212446351933;3.00321888412019;3.1158798283262;2.07081545064428;0;
4;3.05858369098714;3.02896995708156;3.08690987124465;23.5354077253215;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;3.05;2.87;2.63746088511396;5.9016393442623;
2;3.05;2.87;2.63746088511396;5.9016393442623;
3;3.05;2.9;3.84959713518348;4.91803278688526;
4;3.05;2.9;3.84959713518348;4.91803278688526;
5;2.9;2.74;2.5777777777778;5.51724137931033;
6;2.9;2.74;2.5777777777778;5.51724137931033;
7;2.9;2.74;2.5777777777778;5.51724137931033;
8;2.9;2.74;2.5777777777778;5.51724137931033;
9;2.9;2.74;2.5777777777778;5.51724137931033;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;bleu;;1.18;;1;1;1;1;1.21410549503365;2.81649122807019;;1.25303398627817;
;;TEEJET XR;bleu;;1.18;;1;1;2;2;1.08534454768771;2.7388157894737;;1.13591764231831;
;;TEEJET XR;bleu;;1.18;;1;1;3;3;1.08109676385774;2.77664473684212;;1.12373792050706;
;;TEEJET XR;bleu;;1.18;;1;1;4;4;1.05985784470789;2.76680921052633;;1.10361765552895;
;;TEEJET XR;bleu;;1.18;;1;1;5;5;1.08322065577272;2.76259398496242;;1.1288052726374;
;;TEEJET XR;bleu;;1.18;;1;1;6;6;1.07100827726156;2.75810855263159;;1.11698612172716;
;;TEEJET XR;bleu;;1.18;;1;1;7;7;1.06410562853786;2.78521929824563;;1.10437271915596;
;;TEEJET XR;bleu;;1.18;;1;1;8;8;1.08322065577272;2.77556390977445;;1.12616478885123;
;;TEEJET XR;bleu;;1.18;;2;1;1;9;1.03649503364307;2.78286549707604;;1.07617213978411;
;;TEEJET XR;bleu;;1.18;;2;1;2;10;0.31437178254833;2.77740131578949;;0.32672688069922;
;;TEEJET XR;bleu;;1.18;;2;1;3;11;1.0282649524725;2.76075657894738;;1.07189341515207;
;;TEEJET XR;bleu;;1.18;;2;1;4;12;1.04127379045178;2.76302631578949;;1.08500828338555;
;;TEEJET XR;bleu;;1.18;;2;1;5;13;1.05561006087793;2.77437500000001;;1.09769469908578;
;;TEEJET XR;bleu;;1.18;;2;1;6;14;1.07286668268718;2.77286184210528;;1.11594366307893;
;;TEEJET XR;bleu;;1.18;;2;1;7;15;1.07286668268718;2.76216165413535;;1.11810307056238;
;;TEEJET XR;bleu;;1.18;;2;1;8;16;1.08109676385774;2.78853383458648;;1.12133979630211;
;;TEEJET XR;bleu;;1.18;;3;1;1;17;1.06171625013351;2.73545321637428;;1.11187111022127;
;;TEEJET XR;bleu;;1.18;;3;1;2;18;1.05799943928228;2.75016447368422;;1.10501133025309;
;;TEEJET XR;bleu;;1.18;;3;1;3;19;1.09596400726263;2.76259398496242;;1.14208489602366;
;;TEEJET XR;bleu;;1.18;;3;1;4;20;1.07897287194276;2.72027960526317;;1.13308993075147;
;;TEEJET XR;bleu;;1.18;;3;1;5;21;1.08773392609207;2.76840643274855;;1.13231791028474;
;;TEEJET XR;bleu;;1.18;;3;1;6;22;1.08401711524084;2.74722222222223;;1.13279121194255;
;;TEEJET XR;bleu;;1.18;;3;1;7;23;1.04074281747303;2.73343567251463;;1.09030905971259;
;;TEEJET XR;bleu;;1.18;;3;1;8;24;1.06198173662288;2.74789473684212;;1.10962856780294;
;;TEEJET XR;bleu;;1.18;;4;1;1;25;1.0598578447079;2.74449013157896;;1.10809605638081;
;;TEEJET XR;bleu;;1.18;;4;1;2;26;1.05799943928228;2.7338980263158;;1.10829381388862;
;;TEEJET XR;bleu;;1.18;;4;1;3;27;1.06914987183595;2.7603782894737;;1.11458941434775;
;;TEEJET XR;bleu;;1.18;;4;1;4;28;1.07472508811279;2.73713450292399;;1.12514875722909;
;;TEEJET XR;bleu;;1.18;;4;1;5;29;1.07472508811279;2.76000000000001;;1.12047836010138;
;;TEEJET XR;bleu;;1.18;;4;1;6;30;1.07472508811279;2.74146381578949;;1.12425999014091;
;;TEEJET XR;bleu;;1.18;;4;1;7;31;1.06410562853786;2.7548120300752;;1.1104509559623;
;;TEEJET XR;bleu;;1.18;;4;1;8;32;1.05561006087793;2.73982456140352;;1.10459423132424;
;;TEEJET XR;bleu;;1.18;;5;1;1;33;1.01313222257824;2.73622180451129;;1.06084297779252;
;;TEEJET XR;bleu;;1.18;;5;1;2;34;1.04286670938802;2.73503289473685;;1.09221504458741;
;;TEEJET XR;bleu;;1.18;;5;1;3;35;1.08959233151768;2.74902960526317;;1.13824291817916;
;;TEEJET XR;bleu;;1.18;;5;1;4;36;1.08959233151768;2.72217105263159;;1.14384442469708;
;;TEEJET XR;bleu;;1.18;;5;1;5;37;1.05985784470789;2.7388157894737;;1.10924335200103;
;;TEEJET XR;bleu;;1.18;;5;1;6;38;1.09888435864574;2.70363486842107;;1.15754690919498;
;;TEEJET XR;bleu;;1.18;;5;1;7;39;1.05773395279291;2.68736842105264;;1.11756673901525;
;;TEEJET XR;bleu;;1.18;;5;1;8;40;1.07047730428282;2.70466165413535;;1.12740931691233;
;;TEEJET XR;bleu;;1.18;;6;1;1;41;1.044990601303;2.69039473684212;;1.10348138018693;
;;TEEJET XR;bleu;;1.18;;6;1;2;42;1.07472508811279;2.73622180451129;;1.12533639477038;
;;TEEJET XR;bleu;;1.18;;6;1;3;43;1.00224727651394;2.73578947368422;;1.04952835178256;
;;TEEJET XR;bleu;;1.18;;6;1;4;44;1.10870735875254;2.74070723684212;;1.15996860259503;
;;TEEJET XR;bleu;;1.18;;6;1;5;45;1.07047730428282;2.73060150375941;;1.12204152265072;
;;TEEJET XR;bleu;;1.18;;6;1;6;46;1.08109676385774;2.72940058479533;;1.13342178186073;
;;TEEJET XR;bleu;;1.18;;6;1;7;47;1.09171622343266;2.75956766917294;;1.13828199787877;
;;TEEJET XR;bleu;;1.18;;6;1;8;48;1.08959233151768;2.74638157894738;;1.13879152566977;
