***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.62865979381443;1.61752577319587;1.6360824742268;8.57731958762843;-2;
2;2.01371134020618;2.00103092783504;2.02577319587628;0.68556701030886;0;
3;3.11505154639174;3.10515463917525;3.12680412371133;3.83505154639135;-2;
4;3.13453608247421;3.12680412371133;3.13917525773195;21.6365979381446;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;-0;3.19;7.45192307692308;3090;
2;-0;3.19;4.39189189189189;3090;
3;-0;3.04;4.39189189189189;2940;
4;-0;3.04;4.39189189189189;2940;
5;-0;3.19;4.53879941434845;3090;
6;-0;3.2;5.71847507331377;3100;
7;-0;3.2;5.71847507331377;3100;
8;-0;3.2;4.93164062500001;3100;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;marron;;1.97;;1;1;1;1;1.4294150379152;2.69545112781957;;1.50800660290682;
;;TEEJET XR;marron;;1.97;;1;1;2;2;1.41879557834028;2.69707236842108;;1.49635332787825;
;;TEEJET XR;marron;;1.97;;1;1;3;3;1.39118498344548;2.70501644736845;;1.46507734757763;
;;TEEJET XR;marron;;1.97;;1;1;4;4;1.35720271280573;2.70928571428574;;1.42816354410308;
;;TEEJET XR;marron;;1.97;;1;1;5;5;1.3741938481256;2.7061513157895;;1.44688025151182;
;;TEEJET XR;marron;;1.97;;1;1;6;6;1.2884417120581;2.68680451127822;;1.36146778389599;
;;TEEJET XR;marron;;1.97;;1;1;7;7;1.37021155078501;2.71144736842108;;1.44127768376638;
;;TEEJET XR;marron;;1.97;;1;1;8;8;1.36994606429563;2.71182565789476;;1.44089791736459;
;;TEEJET XR;marron;;1.97;;1;1;9;9;1.37021155078501;2.7156085526316;;1.4401730103423;
;;TEEJET XR;marron;;1.97;;1;1;10;10;1.34605228025206;2.61006578947371;;1.44310133441231;
;;TEEJET XR;marron;;1.97;;2;1;1;11;1.31631779344228;2.61417293233085;;1.41011399388858;
;;TEEJET XR;marron;;1.97;;2;1;2;12;1.39330887536046;2.60287828947371;;1.4958260782128;
;;TEEJET XR;marron;;1.97;;2;1;3;13;1.36091952365695;2.5862335526316;;1.46574763110412;
;;TEEJET XR;marron;;1.97;;2;1;4;14;1.3741938481256;2.57791118421055;;1.48243155916223;
;;TEEJET XR;marron;;1.97;;2;1;5;15;1.336760253124;2.62065789473687;;1.43024021657504;
;;TEEJET XR;marron;;1.97;;2;1;6;16;1.32189300971911;2.59644736842108;;1.42091196581608;
;;TEEJET XR;marron;;1.97;;2;1;7;17;1.33304344227278;2.59417763157897;;1.43352435222319;
;;TEEJET XR;marron;;1.97;;2;1;8;18;1.31631779344228;2.62027960526318;;1.40846987012179;
;;TEEJET XR;marron;;1.97;;2;1;9;19;1.29030011748372;2.6362218045113;;1.37644984198976;
;;TEEJET XR;marron;;1.97;;2;1;10;20;1.36357438855068;2.62195488721807;;1.45856858470043;
;;TEEJET XR;marron;;1.97;;3;1;1;21;1.3465832532308;2.6006085526316;;1.44629319630354;
;;TEEJET XR;marron;;1.97;;3;1;2;22;1.32746822599594;2.64449013157897;;1.41388402220946;
;;TEEJET XR;marron;;1.97;;3;1;3;23;1.35534430738012;2.62325187969927;;1.44940670824065;
;;TEEJET XR;marron;;1.97;;3;1;4;24;1.34233546940084;2.62179276315792;;1.43589443771435;
;;TEEJET XR;marron;;1.97;;3;1;5;25;1.32932663142156;2.62292763157897;;1.42167124250485;
;;TEEJET XR;marron;;1.97;;3;1;6;26;1.32560982057033;2.63578947368423;;1.41423304434647;
;;TEEJET XR;marron;;1.97;;3;1;7;27;1.31047709067607;2.63503289473687;;1.39828931799837;
;;TEEJET XR;marron;;1.97;;3;1;8;28;1.34047706397522;2.63843750000002;;1.42937640663969;
;;TEEJET XR;marron;;1.97;;3;1;9;29;1.32189300971911;2.62746710526318;;1.41249945715703;
;;TEEJET XR;marron;;1.97;;3;1;10;30;1.29348595535619;2.61561403508774;;1.38527346493378;
;;TEEJET XR;marron;;1.97;;4;1;1;31;1.33596379365588;2.62402046783628;;1.42847191623557;
;;TEEJET XR;marron;;1.97;;4;1;2;32;1.32109655025099;2.62454887218048;;1.41243299314811;
;;TEEJET XR;marron;;1.97;;4;1;3;33;1.32534433408096;2.61195723684213;;1.4203858002824;
;;TEEJET XR;marron;;1.97;;4;1;4;34;1.31472487450604;2.63087171052634;;1.40393070236426;
;;TEEJET XR;marron;;1.97;;4;1;5;35;1.34419387482645;2.62267543859651;;1.43764038762567;
;;TEEJET XR;marron;;1.97;;4;1;6;36;1.33808768557087;2.60422932330829;;1.43616913478132;
;;TEEJET XR;marron;;1.97;;4;1;7;37;1.34047706397522;2.66037828947371;;1.42346999536834;
;;TEEJET XR;marron;;1.97;;4;1;8;38;1.32560982057033;2.64875939849626;;1.4107663260427;
;;TEEJET XR;marron;;1.97;;4;1;9;39;1.37631774004059;2.65848684210529;;1.46204950313004;
;;TEEJET XR;marron;;1.97;;4;1;10;40;1.36357438855068;2.65356907894739;;1.4498539760132;
;;TEEJET XR;marron;;1.97;;5;1;1;41;1.36091952365695;2.6509210526316;;1.44775367078508;
;;TEEJET XR;marron;;1.97;;5;1;2;42;1.38056552387056;2.65848684210529;;1.46656188428835;
;;TEEJET XR;marron;;1.97;;5;1;3;43;1.34870714514579;2.62584586466168;;1.44159633926884;
;;TEEJET XR;marron;;1.97;;5;1;4;44;1.35507882089074;2.65243421052634;;1.44112905621281;
;;TEEJET XR;marron;;1.97;;5;1;5;45;1.29030011748372;2.61649671052634;;1.38162845047378;
;;TEEJET XR;marron;;1.97;;5;1;6;46;1.37392836163623;2.63616776315792;;1.46567673267986;
;;TEEJET XR;marron;;1.97;;5;1;7;47;1.34870714514579;2.63919407894739;;1.43794614740591;
;;TEEJET XR;marron;;1.97;;5;1;8;48;1.33861865854961;2.61763157894739;;1.4330562609854;
;;TEEJET XR;marron;;1.97;;5;1;9;49;1.35534430738012;2.62887218045115;;1.44785652633226;
;;TEEJET XR;marron;;1.97;;5;1;10;50;1.31631779344228;2.63276315789476;;1.40512669056632;
;;TEEJET XR;marron;;1.97;;6;1;1;51;1.34445936131582;2.61426900584798;;1.44023436663088;
;;TEEJET XR;marron;;1.97;;6;1;2;52;1.34791068567767;2.6330994152047;;1.43875920524455;
;;TEEJET XR;marron;;1.97;;6;1;3;53;1.29773373918616;2.62368421052634;;1.38768355718507;
;;TEEJET XR;marron;;1.97;;6;1;4;54;1.32189300971911;2.64789473684213;;1.40704042519185;
;;TEEJET XR;marron;;1.97;;6;1;5;55;1.35295492897576;2.63200657894739;;1.44444320857126;
;;TEEJET XR;marron;;1.97;;6;1;6;56;1.33490184769839;2.64227443609025;;1.42239756463123;
;;TEEJET XR;marron;;1.97;;6;1;7;57;1.34021157748585;2.67513157894739;;1.41925822123599;
;;TEEJET XR;marron;;1.97;;6;1;8;58;1.3465832532308;2.6630263157895;;1.42924311030636;
