***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.53278350515463;1.52474226804123;1.54329896907216;2.1855670103089;0;
2;2.01989690721649;1.99793814432989;2.04432989690721;0.99484536082435;0;
3;2.89670103092782;2.88865979381442;2.90412371134019;3.44329896907256;-2;
4;1.44463917525773;-0.01546391752577;2.91958762886597;63.8840206185568;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;-0.02;2.95;0.76886112445939;2850;
2;-0.02;2.95;0.76886112445939;2850;
3;-0.02;2.99;0.77034183919117;2890;
4;-0.02;2.99;0.77034183919117;2890;
5;-0.02;2.97;0.00000000000001;2870;
6;-0.02;2.97;0.00000000000001;2870;
7;-0.02;2.97;0.00000000000001;2870;
8;-0.02;2.97;0.00000000000001;2870;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;marron;;1.97;;1;1;1;1;1.49658311972659;2.52943609022559;;1.62985742150668;
;;TEEJET XR;marron;;1.97;;1;1;2;2;1.38879560504112;2.51587171052634;;1.5165429516688;
;;TEEJET XR;marron;;1.97;;1;1;3;3;1.34870714514579;2.50738721804514;;1.47525665296574;
;;TEEJET XR;marron;;1.97;;1;1;4;4;1.41242390259532;2.52381578947371;;1.53991539010942;
;;TEEJET XR;marron;;1.97;;1;1;5;5;1.44268936238385;2.52949013157897;;1.57114751265513;
;;TEEJET XR;marron;;1.97;;1;1;6;6;1.43897255153263;2.52045321637429;;1.56990660576239;
;;TEEJET XR;marron;;1.97;;1;1;7;7;1.40605222685037;2.50868421052634;;1.53758481643868;
;;TEEJET XR;marron;;1.97;;1;1;8;8;1.39543276727545;2.52295112781957;;1.52165124336121;
;;TEEJET XR;marron;;1.97;;1;1;9;9;1.37206995621062;2.5359210526316;;1.49234425356207;
;;TEEJET XR;marron;;1.97;;1;1;10;10;1.37578676706184;2.52347953216377;;1.50007116167884;
;;TEEJET XR;marron;;1.97;;2;1;1;11;1.40817611876536;2.35434210526318;;1.58958156477449;
;;TEEJET XR;marron;;1.97;;2;1;2;12;1.41481328099968;2.35996240601506;;1.59517087985479;
;;TEEJET XR;marron;;1.97;;2;1;3;13;1.35534430738012;2.37163533834589;;1.52435565747988;
;;TEEJET XR;marron;;1.97;;2;1;4;14;1.37631774004059;2.35774671052634;;1.5524969702324;
;;TEEJET XR;marron;;1.97;;2;1;5;15;1.42410530812774;2.36379934210529;;1.60434375774115;
;;TEEJET XR;marron;;1.97;;2;1;6;16;1.46127341663997;2.36985197368423;;1.64411238609074;
;;TEEJET XR;marron;;1.97;;2;1;7;17;1.4501229840863;2.36796052631581;;1.63221826785064;
;;TEEJET XR;marron;;1.97;;2;1;8;18;1.40605222685037;2.36577485380119;;1.58334434124065;
;;TEEJET XR;marron;;1.97;;2;1;9;19;1.41295487557407;2.37703947368423;;1.58734278682202;
;;TEEJET XR;marron;;1.97;;2;1;10;20;1.38879560504112;2.36644736842108;;1.56368955746658;
;;TEEJET XR;marron;;1.97;;3;1;1;21;1.42091947025526;2.38725328947371;;1.59287186876684;
;;TEEJET XR;marron;;1.97;;3;1;2;22;1.39437082131796;2.37666118421055;;1.56658973611493;
;;TEEJET XR;marron;;1.97;;3;1;3;23;1.45198138951191;2.39800751879702;;1.62403882340496;
;;TEEJET XR;marron;;1.97;;3;1;4;24;1.41454779451031;2.39519736842108;;1.58309727138188;
;;TEEJET XR;marron;;1.97;;3;1;5;25;1.3890610915305;2.39254934210529;;1.55543376553072;
;;TEEJET XR;marron;;1.97;;3;1;6;26;1.4333973352558;2.38422697368423;;1.60787921678492;
;;TEEJET XR;marron;;1.97;;3;1;7;27;1.3890610915305;2.39595394736844;;1.55432825167504;
;;TEEJET XR;marron;;1.97;;3;1;8;28;1.41853009185091;2.38574013157897;;1.59069755088793;
;;TEEJET XR;marron;;1.97;;3;1;9;29;1.42224690270213;2.38028195488724;;1.59669300218773;
;;TEEJET XR;marron;;1.97;;3;1;10;30;1.44003449749012;2.38796783625733;;1.61405855877346;
;;TEEJET XR;marron;;1.97;;4;1;1;31;1.44640617323508;2.38536184210529;;1.6220855676025;
;;TEEJET XR;marron;;1.97;;4;1;2;32;1.42596371355335;2.40016917293235;;1.59421971221187;
;;TEEJET XR;marron;;1.97;;4;1;3;33;1.43366282174517;2.39166666666669;;1.60567381529604;
;;TEEJET XR;marron;;1.97;;4;1;4;34;1.41481328099968;2.39233918128657;;1.58433996972567;
;;TEEJET XR;marron;;1.97;;4;1;5;35;1.41295487557407;2.39195488721807;;1.58238598383147;
;;TEEJET XR;marron;;1.97;;4;1;6;36;1.42091947025526;2.39292763157897;;1.59098216169877;
;;TEEJET XR;marron;;1.97;;4;1;7;37;1.34233546940084;2.37984962406017;;1.50711688434713;
;;TEEJET XR;marron;;1.97;;4;1;8;38;1.41030001068034;2.38574013157897;;1.58146858208647;
;;TEEJET XR;marron;;1.97;;4;1;9;39;1.39622922674357;2.38536184210529;;1.56581416733034;
;;TEEJET XR;marron;;1.97;;4;1;10;40;1.47189287621489;2.39519736842108;;1.64727526715269;
;;TEEJET XR;marron;;1.97;;5;1;1;41;1.20428249492684;1.93330592105265;;1.50016390033394;
;;TEEJET XR;marron;;1.97;;5;1;2;42;1.41879557834028;1.93166666666669;;1.76813068388124;
;;TEEJET XR;marron;;1.97;;5;1;3;43;1.38136198333868;1.92830409356727;;1.72298051191374;
;;TEEJET XR;marron;;1.97;;5;1;4;44;1.39968055110542;1.92233552631581;;1.74853753411889;
;;TEEJET XR;marron;;1.97;;5;1;5;45;1.39994603759479;1.92838815789476;;1.74612244586591;
;;TEEJET XR;marron;;1.97;;5;1;6;46;1.36357438855068;1.93065789473686;;1.69975685054675;
;;TEEJET XR;marron;;1.97;;5;1;7;47;1.39437082131796;1.92330827067671;;1.74146385107599;
;;TEEJET XR;marron;;1.97;;5;1;8;48;1.3614504966357;1.92649671052634;;1.69894119163954;
;;TEEJET XR;marron;;1.97;;5;1;9;49;1.4018044430204;1.9293128654971;;1.74802133630346;
;;TEEJET XR;marron;;1.97;;5;1;10;50;1.15463652141408;1.92374060150378;;1.44189176684522;
