***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.37134020618556;1.33917525773195;1.38556701030927;8.57731958762919;-2;
2;1.89309278350515;1.88659793814432;1.91752577319587;5.34536082474257;-2;
3;2.76371134020618;2.69072164948453;2.83298969072164;7.87628865979415;-2;
4;3.77659793814431;3.74845360824741;3.8103092783505;5.58505154639214;-2;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;2.88;2.97;0;3.12500000000001;
2;2.88;2.97;0;3.12500000000001;
3;2.88;2.97;0;3.12500000000001;
4;2.88;2.97;0;3.12500000000001;
5;2.88;2.97;0;3.12500000000001;
6;2.88;2.97;0;3.12500000000001;
7;2.88;2.97;0;3.12500000000001;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;rouge;;1.58;;1;1;1;1;1.51888398483392;3.29779605263161;;1.44868289847848;
;;TEEJET XR;rouge;;1.58;;1;1;2;2;1.51012293068461;3.4226315789474;;1.41381587251712;
;;TEEJET XR;rouge;;1.58;;1;1;3;3;1.51437071451458;3.33486842105266;;1.43632750867796;
;;TEEJET XR;rouge;;1.58;;1;1;4;4;1.5969370127096;3.74304276315792;;1.42967070986695;
;;TEEJET XR;rouge;;1.58;;1;1;5;5;1.5802113638791;3.80924342105266;;1.40235008424705;
;;TEEJET XR;rouge;;1.58;;1;1;6;6;1.56534412047421;3.71996710526319;;1.40572673287141;
;;TEEJET XR;rouge;;1.58;;1;1;7;7;1.56322022855923;3.80129934210529;;1.38872021837513;
;;TEEJET XR;rouge;;1.58;;1;1;8;8;1.55047687706932;3.58605263157898;;1.41813505170916;
;;TEEJET XR;rouge;;1.58;;2;1;1;9;1.54861847164371;3.35269005847956;;1.46490128233868;
;;TEEJET XR;rouge;;1.58;;2;1;2;10;1.54304325536687;3.32189849624063;;1.46637669207155;
;;TEEJET XR;rouge;;1.58;;2;1;3;11;1.55897244472926;3.29586257309944;;1.48735459325611;
;;TEEJET XR;rouge;;1.58;;2;1;4;12;1.52711406600449;3.38328947368424;;1.4380120522867;
;;TEEJET XR;rouge;;1.58;;2;1;5;13;1.54198130940938;3.26093984962409;;1.47900057538684;
;;TEEJET XR;rouge;;1.58;;2;1;6;14;1.59322020185838;3.24364661654138;;1.53221484342993;
;;TEEJET XR;rouge;;1.58;;2;1;7;15;1.54490166079248;3.16009868421055;;1.50525869612113;
;;TEEJET XR;rouge;;1.58;;2;1;8;16;1.55791049877176;3.31906432748541;;1.48113722329858;
;;TEEJET XR;rouge;;1.58;;3;1;1;17;1.50401674142903;3.31746710526319;;1.43024350821711;
;;TEEJET XR;rouge;;1.58;;3;1;2;18;1.56906093132543;3.23701754385968;;1.51052497273418;
;;TEEJET XR;rouge;;1.58;;3;1;3;19;1.56746801238919;3.21003289473687;;1.51532075882186;
;;TEEJET XR;rouge;;1.58;;3;1;4;20;1.6078219587739;3.21251879699251;;1.55373069051633;
;;TEEJET XR;rouge;;1.58;;3;1;5;21;1.61366266154011;3.22856907894739;;1.5554939841616;
;;TEEJET XR;rouge;;1.58;;3;1;6;22;1.55897244472926;3.3432748538012;;1.47677055827438;
;;TEEJET XR;rouge;;1.58;;3;1;7;23;1.56109633664424;3.29023026315792;;1.49065515267036;
;;TEEJET XR;rouge;;1.58;;3;1;8;24;1.56162730962299;3.26639802631582;;1.49659217584549;
;;TEEJET XR;rouge;;1.58;;4;1;1;25;1.52817601196198;3.32665413533837;;1.45120972565914;
;;TEEJET XR;rouge;;1.58;;4;1;2;26;1.57171579621916;3.29287828947371;;1.50019186453862;
;;TEEJET XR;rouge;;1.58;;4;1;3;27;1.62295468866816;3.24969924812033;;1.55935658038413;
;;TEEJET XR;rouge;;1.58;;4;1;4;28;1.64339714834989;3.23991776315792;;1.58137971252158;
;;TEEJET XR;rouge;;1.58;;4;1;5;29;1.6078219587739;3.36311403508775;;1.5185454202907;
;;TEEJET XR;rouge;;1.58;;4;1;6;30;1.5802113638791;3.32692434210529;;1.50056338701061;
;;TEEJET XR;rouge;;1.58;;4;1;7;31;1.58445914770907;3.26785714285717;;1.51813412376704;
;;TEEJET XR;rouge;;1.58;;4;1;8;32;1.58870693153904;3.29855263157898;;1.51510492078867;
;;TEEJET XR;rouge;;1.58;;5;1;1;33;1.60994585068888;3.30006578947371;;1.53500783830446;
;;TEEJET XR;rouge;;1.58;;5;1;2;34;1.58206976930471;3.29898496240604;;1.50867638118709;
;;TEEJET XR;rouge;;1.58;;5;1;3;35;1.58658303962406;3.30028195488725;;1.51268295191594;
;;TEEJET XR;rouge;;1.58;;5;1;4;36;1.57835295845349;3.31935855263161;;1.50050577962986;
;;TEEJET XR;rouge;;1.58;;5;1;5;37;1.58233525579409;3.29174342105266;;1.51058839481864;
;;TEEJET XR;rouge;;1.58;;5;1;6;38;1.55684855281427;3.3004440789474;;1.48429698512817;
;;TEEJET XR;rouge;;1.58;;5;1;7;39;1.5634857150486;3.34058479532166;;1.48164204949476;
;;TEEJET XR;rouge;;1.58;;5;1;8;40;1.60145028302895;3.3035964912281;;1.52609155760344;
;;TEEJET XR;rouge;;1.58;;6;1;1;41;1.54835298515433;3.37080592105266;;1.46070908043342;
;;TEEJET XR;rouge;;1.58;;6;1;2;42;1.59720249919898;3.37118421052634;;1.50670894416221;
;;TEEJET XR;rouge;;1.58;;6;1;3;43;1.59720249919898;3.34221804511281;;1.51322399277573;
;;TEEJET XR;rouge;;1.58;;6;1;4;44;1.54861847164371;3.3458388157895;;1.46640034761808;
;;TEEJET XR;rouge;;1.58;;6;1;5;45;1.55605209334615;3.39928571428574;;1.46180998810574;
;;TEEJET XR;rouge;;1.58;;6;1;6;46;1.55233528249493;3.40901315789476;;1.45623618100558;
;;TEEJET XR;rouge;;1.58;;6;1;7;47;1.55605209334615;3.2821240601504;;1.48767225361596;
;;TEEJET XR;rouge;;1.58;;6;1;8;48;1.53560963366443;3.34092105263161;;1.45515196052419;
;;TEEJET XR;rouge;;1.58;;7;1;1;49;1.52711406600449;3.39993421052634;;1.43448776370995;
;;TEEJET XR;rouge;;1.58;;7;1;2;50;1.55233528249493;3.3579440789474;;1.46726793302344;
;;TEEJET XR;rouge;;1.58;;7;1;3;51;1.53375122823882;3.20625000000003;;1.48360011955242;
;;TEEJET XR;rouge;;1.58;;7;1;4;52;1.52631760653637;3.40274436090228;;1.43314746513738;
;;TEEJET XR;rouge;;1.58;;7;1;5;53;1.52286628217452;3.29768796992484;;1.45250494113177;
;;TEEJET XR;rouge;;1.58;;7;1;6;54;1.50959195770587;3.36437500000003;;1.42550256222606;
;;TEEJET XR;rouge;;1.58;;7;1;7;55;1.4501229840863;3.38858552631582;;1.36444563925562;
;;TEEJET XR;rouge;;1.58;;7;1;8;56;1.53375122823882;3.36556390977446;;1.44806024273854;

***Vitesse***
Parcours;Distance;Temps;Vitesse mesuree(km/h);Vitesse compteur(km/h);
1;53.87;19;10.2069473684211;10;
2;62.07;22;10.1569090909091;10;

***Debit***
Mesure;Debit theorique ( L/min);Debit affiche(L/min);erreur(%);
1;37.3590555377551;68;82.0174493738987

