***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.54793814432989;1.51546391752577;1.56494845360824;3.19587628865941;0;
2;1.99391752577319;1.96701030927834;2.04432989690721;0.30412371134061;0;
3;2.980206185567;2.82989690721648;3.07731958762885;0.65979381443338;0;
4;2.90752577319586;2.82061855670102;2.96597938144329;27.3118556701034;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;3.39;3.17;6.59941151744431;6.48967551622419;
2;3.39;3.07;2.80452071996652;9.43952802359882;
3;3.39;3.07;2.80452071996652;9.43952802359882;
4;3.39;3.06;2.42677824267782;9.73451327433628;
5;3.16;2.9;3.57439733998339;8.22784810126583;
6;3.16;2.9;3.57439733998339;8.22784810126583;
7;3.18;2.93;2.45526425301706;7.86163522012579;
8;3.18;2.93;2.45526425301706;7.86163522012579;
9;3.18;2.93;2.45526425301706;7.86163522012579;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;bleu;;1.18;;1;1;1;1;1.26614084695077;3.01926691729326;;1.26209455461825;
;;TEEJET XR;bleu;;1.18;;1;1;2;2;1.17242411620207;3.01067434210529;;1.17034385655827;
;;TEEJET XR;bleu;;1.18;;1;1;3;3;1.11507903449749;3.00500000000002;;1.1141509618985;
;;TEEJET XR;bleu;;1.18;;1;1;4;4;1.1416276834348;3.04018092105266;;1.13405835943157;
;;TEEJET XR;bleu;;1.18;;1;1;5;5;1.13631795364734;3.04661184210529;;1.12759186229351;
;;TEEJET XR;bleu;;1.18;;1;1;6;6;1.15118519705223;3.06451754385967;;1.13900273732638;
;;TEEJET XR;bleu;;1.18;;1;1;7;7;1.21490195450176;3.05039473684213;;1.20482462858469;
;;TEEJET XR;bleu;;1.18;;1;1;8;8;1.21968071131048;3.03375000000003;;1.21287735709555;
;;TEEJET XR;bleu;;1.18;;2;1;1;9;1.07472508811279;2.84157894736845;;1.10427731638455;
;;TEEJET XR;bleu;;1.18;;2;1;2;10;1.12861884545552;2.84460526315792;;1.15903598667658;
;;TEEJET XR;bleu;;1.18;;2;1;3;11;1.12304362917868;2.84914473684213;;1.152391376869;
;;TEEJET XR;bleu;;1.18;;2;1;4;12;1.14720289971163;2.82442982456143;;1.18232117854375;
;;TEEJET XR;bleu;;1.18;;2;1;5;13;1.14693741322226;2.85368421052634;;1.17597310922576;
;;TEEJET XR;bleu;;1.18;;2;1;6;14;1.15755687279718;2.84347039473687;;1.18899111640308;
;;TEEJET XR;bleu;;1.18;;2;1;7;15;1.14056573747731;2.86730263157897;;1.16665966161914;
;;TEEJET XR;bleu;;1.18;;2;1;8;16;1.1249020346043;2.83212171052634;;1.15776221846463;
;;TEEJET XR;bleu;;1.18;;3;1;1;17;1.05136227704796;2.9024835526316;;1.06887798947733;
;;TEEJET XR;bleu;;1.18;;3;1;2;18;1.10658346683755;2.90815789473687;;1.12392107132246;
;;TEEJET XR;bleu;;1.18;;3;1;3;19;1.10260116949696;2.88205592105266;;1.12493615361723;
;;TEEJET XR;bleu;;1.18;;3;1;4;20;1.1278223859874;2.90167293233085;;1.14677207439821;
;;TEEJET XR;bleu;;1.18;;3;1;5;21;1.12145071024245;2.87411184210529;;1.14574767764727;
;;TEEJET XR;bleu;;1.18;;3;1;6;22;1.16817633237211;2.90686090225566;;1.18674361862195;
;;TEEJET XR;bleu;;1.18;;3;1;7;23;1.10445957492257;2.89189144736845;;1.12491435418898;
;;TEEJET XR;bleu;;1.18;;3;1;8;24;1.10260116949696;2.90664473684213;;1.12016783851756;
;;TEEJET XR;bleu;;1.18;;4;1;1;25;1.1100347911994;2.88610902255642;;1.13172484969367;
;;TEEJET XR;bleu;;1.18;;4;1;2;26;1.14348608886041;2.8642763157895;;1.17026457020398;
;;TEEJET XR;bleu;;1.18;;4;1;3;27;1.13233565630674;2.86406015037596;;1.15889674514653;
;;TEEJET XR;bleu;;1.18;;4;1;4;28;1.14534449428602;2.8792397660819;;1.16911664557058;
;;TEEJET XR;bleu;;1.18;;4;1;5;29;1.11720292641248;2.85973684210529;;1.14427301637458;
;;TEEJET XR;bleu;;1.18;;4;1;6;30;1.14720289971163;2.88054276315792;;1.1707487424331;
;;TEEJET XR;bleu;;1.18;;4;1;7;31;1.11375160205063;2.87011278195491;;1.13867421876523;
;;TEEJET XR;bleu;;1.18;;4;1;8;32;1.13419406173235;2.8649248120301;;1.16062355972063;
;;TEEJET XR;bleu;;1.18;;5;1;1;33;1.05242422300545;2.90664473684213;;1.06919147167727;
;;TEEJET XR;bleu;;1.18;;5;1;2;34;1.08959233151768;3.0102960526316;;1.0877273805567;
;;TEEJET XR;bleu;;1.18;;5;1;3;35;1.14268962939229;3.00154135338348;;1.14239619437146;
;;TEEJET XR;bleu;;1.18;;5;1;4;36;1.16207014311652;3.03526315789476;;1.15530005814911;
;;TEEJET XR;bleu;;1.18;;5;1;5;37;1.17454800811706;2.97776315789476;;1.17892539780214;
;;TEEJET XR;bleu;;1.18;;5;1;6;38;1.23189308982164;2.97776315789476;;1.23648419726659;
;;TEEJET XR;bleu;;1.18;;5;1;7;39;1.17693738652142;3.00991776315792;;1.1749967658103;
;;TEEJET XR;bleu;;1.18;;5;1;8;40;1.15755687279718;3.01143092105266;;1.15535783153451;
;;TEEJET XR;bleu;;1.18;;6;1;1;41;1.12676044002991;3.0102960526316;;1.12483187197318;
;;TEEJET XR;bleu;;1.18;;6;1;2;42;1.16950376481897;3.02391447368424;;1.16487010487266;
;;TEEJET XR;bleu;;1.18;;6;1;3;43;1.20003471109687;3.04169407894739;;1.19178158180856;
;;TEEJET XR;bleu;;1.18;;6;1;4;44;1.20003471109687;3.03656015037597;;1.1927886320958;
;;TEEJET XR;bleu;;1.18;;6;1;5;45;1.16021173769091;3.02088815789476;;1.1561935941345;
;;TEEJET XR;bleu;;1.18;;6;1;6;46;1.16207014311652;2.9780994152047;;1.16633517835062;
;;TEEJET XR;bleu;;1.18;;6;1;7;47;1.16764535939336;3.02996710526318;;1.1618568643513;
;;TEEJET XR;bleu;;1.18;;6;1;8;48;1.15277811598847;3.01753759398499;;1.14942332515827;
;;TEEJET XR;bleu;;1.18;;7;1;1;49;1.14268962939229;3.02504934210529;;1.13794869423865;
;;TEEJET XR;bleu;;1.18;;7;1;2;50;1.17322057567019;3.01105263157897;;1.1710653333228;
;;TEEJET XR;bleu;;1.18;;7;1;3;51;1.183043575777;3.01883458646619;;1.17934728182153;
