***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.35154639175256;1.35154639175256;1.35154639175256;9.89690721649595;-2;
2;1.73536082474225;1.71340206185565;1.75670103092782;13.2319587628875;-2;
3;2.8605154639175;2.85154639175256;2.86701030927833;4.6494845360832;-2;
4;3.79731958762884;3.19175257731956;4.0824742268041;5.06701030927902;-2;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;-0.03;2.99;0.67340067340066;2890;
2;-0.03;2.97;0.08410428931878;2870;
3;-0.03;2.97;0.08410428931878;2870;
4;-0.03;2.97;0.08410428931878;2870;
5;-0.03;2.97;0.08410428931878;2870;
6;-0.03;2.95;0.84033613445381;2850;
7;-0.03;2.95;0.84033613445381;2850;
8;-0.03;2.99;0.67340067340066;2890;
9;-0.03;2.99;0.67340067340066;2890;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;rouge;;1.58;;1;1;1;1;1.47799906547047;2.79088815789476;;1.53236975080401;
;;TEEJET XR;rouge;;1.58;;1;1;2;2;1.43578671366015;2.82379934210529;;1.47990433108998;
;;TEEJET XR;rouge;;1.58;;1;1;3;3;1.39968055110542;2.81390977443611;;1.44522169161264;
;;TEEJET XR;rouge;;1.58;;1;1;4;4;1.40605222685037;2.7924013157895;;1.45738120012322;
;;TEEJET XR;rouge;;1.58;;1;1;5;5;1.4333973352558;2.8593585526316;;1.46822600276878;
;;TEEJET XR;rouge;;1.58;;1;1;6;6;1.47189287621489;2.85301169590646;;1.50933295536914;
;;TEEJET XR;rouge;;1.58;;1;1;7;7;1.50587514685464;2.83081871345032;;1.55022081570919;
;;TEEJET XR;rouge;;1.58;;1;1;8;8;1.40737965929724;2.83893092105266;;1.44675331031302;
;;TEEJET XR;rouge;;1.58;;2;1;1;9;1.40817611876536;2.84849624060153;;1.44513951708584;
;;TEEJET XR;rouge;;1.58;;2;1;2;10;1.43711414610702;2.82152960526318;;1.4818682256236;
;;TEEJET XR;rouge;;1.58;;2;1;3;11;1.44215838940511;2.8139638157895;;1.48906732451955;
;;TEEJET XR;rouge;;1.58;;2;1;4;12;1.45277784898003;2.80093984962408;;1.50351562414285;
;;TEEJET XR;rouge;;1.58;;2;1;5;13;1.39755665919043;2.9002138157895;;1.42139584876339;
;;TEEJET XR;rouge;;1.58;;2;1;6;14;1.46127341663997;2.9096710526316;;1.48378222578551;
;;TEEJET XR;rouge;;1.58;;2;1;7;15;1.39968055110542;2.93539473684213;;1.41499954358134;
;;TEEJET XR;rouge;;1.58;;2;1;8;16;1.44640617323508;2.93337719298248;;1.46273932908128;
;;TEEJET XR;rouge;;1.58;;3;1;1;17;1.4294150379152;2.95809210526318;;1.43950483486866;
;;TEEJET XR;rouge;;1.58;;3;1;2;18;1.45065395706505;2.94182565789476;;1.46492701719935;
;;TEEJET XR;rouge;;1.58;;3;1;3;19;1.42091947025526;2.96349624060153;;1.4296439879856;
;;TEEJET XR;rouge;;1.58;;3;1;4;20;1.44826457866069;2.92442434210529;;1.46685890326823;
;;TEEJET XR;rouge;;1.58;;3;1;5;21;1.44640617323508;2.95468750000003;;1.45745487297986;
;;TEEJET XR;rouge;;1.58;;3;1;6;22;1.49658311972659;2.96074013157897;;1.50647290357934;
;;TEEJET XR;rouge;;1.58;;3;1;7;23;1.4501229840863;2.95393092105266;;1.46138718932174;
;;TEEJET XR;rouge;;1.58;;3;1;8;24;1.44826457866069;2.95355263157897;;1.45960781217539;
;;TEEJET XR;rouge;;1.58;;4;1;1;25;1.46764509238492;2.95826023391815;;1.47796274264238;
;;TEEJET XR;rouge;;1.58;;4;1;2;26;1.46313182206558;2.96944078947371;;1.47064126725746;
;;TEEJET XR;rouge;;1.58;;4;1;3;27;1.44003449749012;2.93755639097747;;1.45525941396762;
;;TEEJET XR;rouge;;1.58;;4;1;4;28;1.43153892983019;2.97776315789476;;1.43687409169835;
;;TEEJET XR;rouge;;1.58;;4;1;5;29;1.45065395706505;2.97700657894739;;1.45624536863254;
;;TEEJET XR;rouge;;1.58;;4;1;6;30;1.47826455195984;2.97246710526318;;1.4850950879077;
;;TEEJET XR;rouge;;1.58;;4;1;7;31;1.49313179536474;2.97689849624063;;1.498914143744;
;;TEEJET XR;rouge;;1.58;;4;1;8;32;1.44640617323508;2.94879699248123;;1.45890985034348;
;;TEEJET XR;rouge;;1.58;;5;1;1;33;1.44640617323508;2.94793233082709;;1.45912379197716;
;;TEEJET XR;rouge;;1.58;;5;1;2;34;1.45914952472498;2.96338815789476;;1.46813554961825;
;;TEEJET XR;rouge;;1.58;;5;1;3;35;1.4333973352558;2.96149671052634;;1.44268525410706;
;;TEEJET XR;rouge;;1.58;;5;1;4;36;1.48888401153477;2.96300986842108;;1.49814877893775;
;;TEEJET XR;rouge;;1.58;;5;1;5;37;1.38268941578554;2.94976973684213;;1.39441230947007;
;;TEEJET XR;rouge;;1.58;;5;1;6;38;1.45277784898003;2.98305921052634;;1.45689717063521;
;;TEEJET XR;rouge;;1.58;;5;1;7;39;1.45490174089502;2.99289473684213;;1.45662771733636;
;;TEEJET XR;rouge;;1.58;;5;1;8;40;1.39808763216918;2.97171052631582;;1.40472648217982;
;;TEEJET XR;rouge;;1.58;;6;1;1;41;1.4294150379152;2.99062500000002;;1.43165374725549;
;;TEEJET XR;rouge;;1.58;;6;1;2;42;1.44640617323508;2.98035714285717;;1.45116481265135;
;;TEEJET XR;rouge;;1.58;;6;1;3;43;1.4846362277048;2.98597744360905;;1.48811817144583;
