***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;2.17693133047211;2.15343347639486;2.20171673819744;45.1287553648076;-3;
2;3.39785407725324;3.37017167381976;3.42811158798285;69.8927038626618;-3;
3;4.25697424892706;4.23605150214594;4.30364806866955;41.899141630902;-3;
4;2.13122317596568;-2.82618025751074;4.27145922746783;46.7194206008581;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;3.28;2.98;0.33670033670033;9.14634146341464;
2;3.28;2.97;0.11210762331837;9.45121951219512;
3;3.28;2.97;0.11210762331837;9.45121951219512;
4;3.28;2.97;0.11210762331837;9.45121951219512;
5;0;0;0;100;
6;0;0;0;100;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;rouge;;1.58;;1;1;1;1;1.4668486329168;2.72633223684212;;1.53870915723306;
;;TEEJET XR;rouge;;1.58;;1;1;2;2;1.48038844387483;2.74746240601505;;1.54692918931707;
;;TEEJET XR;rouge;;1.58;;1;1;3;3;1.42038849727652;2.72027960526317;;1.49162962839035;
;;TEEJET XR;rouge;;1.58;;1;1;4;4;1.40552125387162;2.72822368421054;;1.47386619281213;
;;TEEJET XR;rouge;;1.58;;1;1;5;5;1.37764517248745;2.73578947368422;;1.44263566597164;
;;TEEJET XR;rouge;;1.58;;1;1;6;6;1.42516725408523;2.73805921052633;;1.49178090786716;
;;TEEJET XR;rouge;;1.58;;1;1;7;7;1.45198138951191;2.72860197368422;;1.52247995287627;
;;TEEJET XR;rouge;;1.58;;1;1;8;8;1.41454779451031;2.65861842105264;;1.50262374864168;
;;TEEJET XR;rouge;;1.58;;2;1;1;9;1.31472487450604;2.10896381578948;;1.56805374112018;
;;TEEJET XR;rouge;;1.58;;2;1;2;10;1.27543287407882;2.0964802631579;;1.52571299378584;
;;TEEJET XR;rouge;;1.58;;2;1;3;11;1.24463644131155;2.1108552631579;;1.48379502949618;
;;TEEJET XR;rouge;;1.58;;2;1;4;12;1.23826476556659;2.1085855263158;;1.47699332358445;
;;TEEJET XR;rouge;;1.58;;2;1;5;13;1.25313200897149;2.0982456140351;;1.49840525944819;
;;TEEJET XR;rouge;;1.58;;2;1;6;14;1.23640636014098;2.10480263157896;;1.47610132053013;
;;TEEJET XR;rouge;;1.58;;2;1;7;15;1.24941519812026;2.10669407894738;;1.490962342449;
;;TEEJET XR;rouge;;1.58;;2;1;8;16;1.26242403609954;2.09383223684211;;1.51110603877367;
;;TEEJET XR;rouge;;1.58;;3;1;1;17;1.06835341236783;1.6489097744361;;1.44104360559753;
;;TEEJET XR;rouge;;1.58;;3;1;2;18;1.06171625013351;1.65993421052632;;1.4273275681138;
;;TEEJET XR;rouge;;1.58;;3;1;3;19;1.09516754779451;1.63912828947369;;1.48161279784158;
;;TEEJET XR;rouge;;1.58;;3;1;4;20;1.09384011534765;1.65236842105264;;1.47387628402609;
;;TEEJET XR;rouge;;1.58;;3;1;5;21;1.11720292641248;1.65280075187971;;1.50515921256969;
;;TEEJET XR;rouge;;1.58;;3;1;6;22;1.07897287194276;1.64820723684211;;1.45567775242789;
;;TEEJET XR;rouge;;1.58;;3;1;7;23;1.09596400726263;1.64782894736843;;1.4787707616589;
;;TEEJET XR;rouge;;1.58;;3;1;8;24;1.13844184556232;1.66371710526317;;1.52873333994458;
;;TEEJET XR;rouge;;1.58;;4;1;1;25;0.92392876214889;1.35007309941521;;1.37727439139559;
;;TEEJET XR;rouge;;1.58;;4;1;2;26;0.98180481683221;1.3645321637427;;1.4557737944286;
;;TEEJET XR;rouge;;1.58;;4;1;3;27;0.96507916800171;1.35449248120301;;1.43626728788513;
;;TEEJET XR;rouge;;1.58;;4;1;4;28;0.97277827619353;1.34307894736843;;1.45386378971506;
;;TEEJET XR;rouge;;1.58;;4;1;5;29;0.98976941151341;1.35982456140352;;1.47012145151843;
;;TEEJET XR;rouge;;1.58;;4;1;6;30;1.00251276300331;1.34368421052632;;1.49796591263157;
;;TEEJET XR;rouge;;1.58;;4;1;7;31;1.01711451991883;1.348007518797;;1.51734495223596;
;;TEEJET XR;rouge;;1.58;;4;1;8;32;1.011539303642;1.33687500000001;;1.51529778524897;
;;TEEJET XR;rouge;;1.58;;5;1;1;33;0.91676062693581;1.11325187969925;;1.50494234328087;
;;TEEJET XR;rouge;;1.58;;5;1;2;34;1.06729146641034;1.96975328947369;;1.31715761536975;
;;TEEJET XR;rouge;;1.58;;5;1;3;35;1.15277811598847;1.98828947368422;;1.41601072930054;
;;TEEJET XR;rouge;;1.58;;5;1;4;36;1.20215860301186;2.00228618421054;;1.47149679565893;
;;TEEJET XR;rouge;;1.58;;5;1;5;37;1.23826476556659;1.97315789473685;;1.52683892414529;
;;TEEJET XR;rouge;;1.58;;5;1;6;38;1.23189308982164;1.980507518797;;1.51616127076472;
;;TEEJET XR;rouge;;1.58;;5;1;7;39;1.23640636014098;1.98526315789475;;1.51989230500492;
;;TEEJET XR;rouge;;1.58;;5;1;8;40;1.18091968386201;1.66787828947369;;1.58379442960362;
;;TEEJET XR;rouge;;1.58;;6;1;1;41;1.21782230588487;1.69208881578948;;1.62155981893813;
;;TEEJET XR;rouge;;1.58;;6;1;2;42;1.12569849407241;1.66507894736843;;1.51100289897515;
;;TEEJET XR;rouge;;1.58;;6;1;3;43;1.06171625013351;1.67052631578948;;1.42279533032667;
;;TEEJET XR;rouge;;1.58;;6;1;4;44;1.09384011534765;1.66825657894738;;1.46684103486406;
;;TEEJET XR;rouge;;1.58;;6;1;5;45;1.0765834935384;1.65236842105264;;1.45062414208121;
;;TEEJET XR;rouge;;1.58;;6;1;6;46;1.11932681832746;1.6468201754386;;1.51075641547717;
;;TEEJET XR;rouge;;1.58;;6;1;7;47;1.10260116949696;1.64934210526317;;1.48704360325914;
;;TEEJET XR;rouge;;1.58;;6;1;8;48;1.09145073694329;1.68263157894738;;1.45737141886188;

***Vitesse***
Parcours;Distance;Temps;Vitesse mesuree(km/h);Vitesse compteur(km/h);
1;59.98;21;10.2822857142857;10;
2;56.98;20;10.2564;10;

***Debit***
Mesure;Debit theorique ( L/min);Debit affiche(L/min);erreur(%);
1;21.51692499733;490;2177.27707402802

