***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.42017167381975;1.41309012875537;1.46781115879829;5.32188841201671;0;
2;1.92424892703864;1.82510729613735;1.99248927038628;3.7875536480682;0;
3;2.96942060085838;2.93562231759658;3.03862660944207;1.01931330472054;0;
4;4.06384120171676;3.87875536480689;4.24570815450646;1.59603004291895;0;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;2.91;2.84;2.71247739602166;2.40549828178695;
2;2.91;2.84;2.71247739602166;2.40549828178695;
3;2.91;2.84;2.71247739602166;2.40549828178695;
4;2.94;2.74;1.35013501350137;6.80272108843536;
5;2.94;2.74;1.35013501350137;6.80272108843536;
6;2.97;2.74;1.35013501350137;7.74410774410774;
7;2.97;2.74;1.35013501350137;7.74410774410774;
8;2.98;2.74;1.35013501350137;8.05369127516778;
9;2.98;2.74;1.35013501350137;8.05369127516778;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;verte;;0.59;;1;1;1;1;0.57853083947453;2.80453007518798;;0.59835247418118;
;;TEEJET XR;verte;;0.59;;1;1;2;2;0.57773438000641;2.74940789473685;;0.60348885221228;
;;TEEJET XR;verte;;0.59;;1;1;3;3;0.56074324468653;2.78939849624061;;0.58152634769627;
;;TEEJET XR;verte;;0.59;;1;1;4;4;0.5926016234113;2.8404135338346;;0.60902157432477;
;;TEEJET XR;verte;;0.59;;1;1;5;5;0.58198216383638;2.78320175438598;;0.60422398039573;
;;TEEJET XR;verte;;0.59;;1;1;6;6;0.57481402862331;2.77172697368422;;0.59801594248459;
;;TEEJET XR;verte;;0.59;;1;1;7;7;0.58410605575136;2.67699248120302;;0.61834202016188;
;;TEEJET XR;verte;;0.59;;1;1;8;8;0.60083170458187;2.79328947368422;;0.62266649344154;
;;TEEJET XR;verte;;0.59;;2;1;1;9;0.59339808287942;2.7482730263158;;0.61997878484194;
;;TEEJET XR;verte;;0.59;;2;1;2;10;0.58835383958133;2.73016917293234;;0.61674329974884;
;;TEEJET XR;verte;;0.59;;2;1;3;11;0.5522476770266;2.7708082706767;;0.57463395851216;
;;TEEJET XR;verte;;0.59;;2;1;4;12;0.58224765032575;2.82139097744362;;0.60039454175671;
;;TEEJET XR;verte;;0.59;;2;1;5;13;0.57295562319769;2.80161184210528;;0.59289478617046;
