***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.48905579399142;1.47424892703863;1.51931330472104;0.7296137339051;0;
2;2.05268240343349;2.01502145922748;2.25643776824035;2.63412017167433;0;
3;3.10879828326182;3.05472103004293;3.2285407725322;3.62660944206061;-2;
4;3.11813304721032;3.10944206008585;3.1384120171674;22.0466738197421;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;3.13;2.96;0.33898305084747;5.43130990415335;
2;3.12;2.96;0.33898305084747;5.12820512820513;
3;3.12;2.96;0.33898305084747;5.12820512820513;
4;3.12;2.96;0.33898305084747;5.12820512820513;
5;3.14;2.94;0.45146726862302;6.36942675159236;
6;3.14;2.94;0.45146726862302;6.36942675159236;
7;3.14;2.94;0.45146726862302;6.36942675159236;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;rouge;;1.58;;1;1;1;1;1.44853006515006;3.82110197368423;;1.2834939536676;
;;TEEJET XR;rouge;;1.58;;1;1;2;2;1.3890610915305;3.77554511278197;;1.23820382717422;
;;TEEJET XR;rouge;;1.58;;1;1;3;3;1.44454776780947;3.84796052631581;;1.27549050725837;
;;TEEJET XR;rouge;;1.58;;1;1;4;4;1.38056552387056;3.84190789473686;;1.21995602628221;
;;TEEJET XR;rouge;;1.58;;1;1;5;5;1.39118498344548;3.83055921052633;;1.231159778068;
;;TEEJET XR;rouge;;1.58;;1;1;6;6;1.39622922674357;3.81013157894739;;1.23893169982238;
;;TEEJET XR;rouge;;1.58;;1;1;7;7;1.43153892983019;3.84455592105265;;1.26456366534269;
;;TEEJET XR;rouge;;1.58;;1;1;8;8;1.41030001068034;3.81229323308272;;1.25106244507307;
;;TEEJET XR;rouge;;1.58;;2;1;1;9;1.42782211897896;3.68134502923978;;1.28893634914609;
;;TEEJET XR;rouge;;1.58;;2;1;2;10;1.38693719961551;3.70896616541355;;1.24735763102083;
;;TEEJET XR;rouge;;1.58;;2;1;3;11;1.4294150379152;3.69929276315791;;1.28724028443174;
;;TEEJET XR;rouge;;1.58;;2;1;4;12;1.44268936238385;3.67913533834588;;1.3027484796624;
;;TEEJET XR;rouge;;1.58;;2;1;5;13;1.50375125493966;3.69210526315791;;1.35550022166893;
;;TEEJET XR;rouge;;1.58;;2;1;6;14;1.37950357791306;3.68336257309943;;1.24497669865922;
;;TEEJET XR;rouge;;1.58;;2;1;7;15;1.39968055110542;3.69772556390979;;1.26073037793062;
;;TEEJET XR;rouge;;1.58;;2;1;8;16;1.38056552387056;3.68416118421054;;1.24580003819419;
;;TEEJET XR;rouge;;1.58;;3;1;1;17;1.49525568727972;3.71593750000002;;1.34351305207924;
;;TEEJET XR;rouge;;1.58;;3;1;2;18;1.45702563281;3.70178947368423;;1.31166207443163;
;;TEEJET XR;rouge;;1.58;;3;1;3;19;1.46499022749119;3.69167293233084;;1.32063786887276;
;;TEEJET XR;rouge;;1.58;;3;1;4;20;1.47401676812988;3.7499835526316;;1.31840356864424;
;;TEEJET XR;rouge;;1.58;;3;1;5;21;1.46127341663997;3.71669407894738;;1.31284575179093;
;;TEEJET XR;rouge;;1.58;;3;1;6;22;1.41295487557407;3.72879934210528;;1.26737289010626;
;;TEEJET XR;rouge;;1.58;;3;1;7;23;1.46339730855495;3.70178947368423;;1.31739806509441;
;;TEEJET XR;rouge;;1.58;;3;1;8;24;1.44640617323508;3.69059210526317;;1.30407590259932;
;;TEEJET XR;rouge;;1.58;;4;1;1;25;1.46127341663997;3.71101973684212;;1.31384907310802;
;;TEEJET XR;rouge;;1.58;;4;1;2;26;1.46313182206558;3.72009868421054;;1.31391373639022;
;;TEEJET XR;rouge;;1.58;;4;1;3;27;1.41879557834028;3.70680451127821;;1.27638182734274;
;;TEEJET XR;rouge;;1.58;;4;1;4;28;1.42091947025526;3.7068585526316;;1.27828321241031;
;;TEEJET XR;rouge;;1.58;;4;1;5;29;1.43897255153263;3.72798872180453;;1.29085018780093;
;;TEEJET XR;rouge;;1.58;;4;1;6;30;1.43366282174517;3.72539473684212;;1.28653469341682;
;;TEEJET XR;rouge;;1.58;;4;1;7;31;1.42410530812774;3.72690789473686;;1.277698551988;
;;TEEJET XR;rouge;;1.58;;4;1;8;32;1.43791060557514;3.72085526315791;;1.29113342965002;
;;TEEJET XR;rouge;;1.58;;5;1;1;33;1.41879557834028;3.71669407894739;;1.27468256554394;
;;TEEJET XR;rouge;;1.58;;5;1;2;34;1.42224690270213;3.69340225563911;;1.28180605558585;
;;TEEJET XR;rouge;;1.58;;5;1;3;35;1.45914952472498;3.78592105263159;;1.29889680538743;
;;TEEJET XR;rouge;;1.58;;5;1;4;36;1.43578671366015;3.78592105263159;;1.27809984103061;
;;TEEJET XR;rouge;;1.58;;5;1;5;37;1.46870703834241;3.78592105263159;;1.30740465444249;
;;TEEJET XR;rouge;;1.58;;5;1;6;38;1.45383979493752;3.78592105263159;;1.29417022257906;
;;TEEJET XR;rouge;;1.58;;5;1;7;39;1.47614066004486;3.78592105263159;;1.31402187037421;
;;TEEJET XR;rouge;;1.58;;5;1;8;40;1.47614066004486;3.78592105263159;;1.31402187037421;
;;TEEJET XR;rouge;;1.58;;6;1;1;41;1.47056544376803;3.78592105263159;;1.30905895842542;
;;TEEJET XR;rouge;;1.58;;6;1;2;42;1.46313182206558;3.78592105263159;;1.30244174249371;
;;TEEJET XR;rouge;;1.58;;6;1;3;43;1.44640617323508;3.78592105263159;;1.28755300664735;
;;TEEJET XR;rouge;;1.58;;6;1;4;44;1.45702563281;3.69853618421054;;1.3122388267253;
;;TEEJET XR;rouge;;1.58;;6;1;5;45;1.44826457866069;3.68605263157896;;1.30655522265634;
;;TEEJET XR;rouge;;1.58;;6;1;6;46;1.42782211897896;3.68605263157896;;1.28811301060845;
;;TEEJET XR;rouge;;1.58;;6;1;7;47;1.44215838940511;3.68302631578949;;1.30158093040821;
;;TEEJET XR;rouge;;1.58;;6;1;8;48;1.45941501121436;3.68302631578949;;1.31715542627163;
;;TEEJET XR;rouge;;1.58;;7;1;1;49;1.43525574068141;3.68302631578949;;1.29535113206284;
;;TEEJET XR;rouge;;1.58;;7;1;2;50;1.45198138951191;3.68302631578949;;1.31044641266892;
;;TEEJET XR;rouge;;1.58;;7;1;3;51;1.44215838940511;3.68302631578949;;1.30158093040821;
;;TEEJET XR;rouge;;1.58;;7;1;4;52;1.43366282174517;3.68302631578949;;1.29391348629083;
;;TEEJET XR;rouge;;1.58;;7;1;5;53;1.43153892983019;3.68302631578949;;1.29199662526149;
;;TEEJET XR;rouge;;1.58;;7;1;6;54;1.42038849727652;3.68302631578949;;1.28193310485743;
;;TEEJET XR;rouge;;1.58;;7;1;7;55;1.45198138951191;3.68302631578949;;1.31044641266892;
;;TEEJET XR;rouge;;1.58;;7;1;8;56;1.39065401046673;3.68302631578949;;1.25509705044662;

***Vitesse***
Parcours;Distance;Temps;Vitesse mesuree(km/h);Vitesse compteur(km/h);
1;71.37;26;9.882;10;
2;54.88;20;9.8784;10;

***Debit***
Mesure;Debit theorique ( L/min);Debit affiche(L/min);erreur(%);
1;34.3176423154972;95;176.825543918848

