***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.56989690721649;1.540206185567;1.59896907216494;4.65979381443257;0;
2;1.96051546391752;1.94536082474226;1.97938144329896;1.97422680412412;0;
3;2.96938144329896;2.95360824742267;2.97835051546391;1.02061855670141;0;
4;2.90845360824741;2.8701030927835;2.94123711340205;27.2886597938147;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;2.76;2.79;2.5735294117647;1.08695652173912;
2;2.76;2.77;1.71358629130968;0.3623188405797;
3;2.76;2.77;1.71358629130968;0.3623188405797;
4;2.75;2.78;2.14329454990817;1.0909090909091;
5;2.73;2.65;3.40218712029163;2.93040293040293;
6;2.71;2.68;2.13024954351795;1.10701107011069;
7;2.71;2.67;2.55474452554744;1.4760147601476;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;bleu;;1.18;;1;1;1;1;1.36782217238065;3.61682017543862;;1.24573827547474;
;;TEEJET XR;bleu;;1.18;;1;1;2;2;1.28711427961124;3.62842105263161;;1.17035845465975;
;;TEEJET XR;bleu;;1.18;;1;1;3;3;1.34233546940084;3.62199013157898;;1.22165355181916;
;;TEEJET XR;bleu;;1.18;;1;1;4;4;1.32189300971911;3.63863486842108;;1.20029416504369;
;;TEEJET XR;bleu;;1.18;;1;1;5;5;1.29136206344121;3.61782894736845;;1.17593857385481;
;;TEEJET XR;bleu;;1.18;;1;1;6;6;1.31260098259105;3.62885338345867;;1.193462126253;
;;TEEJET XR;bleu;;1.18;;1;1;7;7;1.35507882089074;3.61782894736845;;1.23396025112648;
;;TEEJET XR;bleu;;1.18;;1;1;8;8;1.31472487450604;3.5789912280702;;1.20369149028546;
;;TEEJET XR;bleu;;1.18;;2;1;1;9;1.3062293068461;3.54281954887221;;1.20200295301794;
;;TEEJET XR;bleu;;1.18;;2;1;2;10;1.25870722524832;3.54557565789477;;1.15782247066527;
;;TEEJET XR;bleu;;1.18;;2;1;3;11;1.21782230588487;3.5376315789474;;1.12147152441405;
;;TEEJET XR;bleu;;1.18;;2;1;4;12;1.33304344227278;3.54633223684213;;1.22606987050446;
;;TEEJET XR;bleu;;1.18;;2;1;5;13;1.31445938801666;3.54281954887221;;1.20957634141058;
;;TEEJET XR;bleu;;1.18;;2;1;6;14;1.34976909110328;3.54570175438599;;1.24156369593873;
;;TEEJET XR;bleu;;1.18;;2;1;7;15;1.31047709067607;3.54325187969928;;1.20583822657011;
;;TEEJET XR;bleu;;1.18;;2;1;8;16;1.28923817152622;3.5520065789474;;1.1848323465729;
;;TEEJET XR;bleu;;1.18;;3;1;1;17;1.18808781907509;3.53498355263161;;1.09449925906055;
;;TEEJET XR;bleu;;1.18;;3;1;2;18;1.27357446865321;3.52476973684213;;1.17495056928661;
;;TEEJET XR;bleu;;1.18;;3;1;3;19;1.26985765780199;3.5232565789474;;1.17177312710497;
;;TEEJET XR;bleu;;1.18;;3;1;4;20;1.32534433408096;3.53292397660822;;1.22129957811813;
;;TEEJET XR;bleu;;1.18;;3;1;5;21;1.3338399017409;3.52941729323311;;1.22973866416033;
;;TEEJET XR;bleu;;1.18;;3;1;6;22;1.30888417173983;3.52590460526319;;1.20733158996181;
;;TEEJET XR;bleu;;1.18;;3;1;7;23;1.18808781907509;3.52212171052634;;1.0964958465743;
;;TEEJET XR;bleu;;1.18;;3;1;8;24;1.2233975221617;3.53157894736845;;1.12757065360454;
;;TEEJET XR;bleu;;1.18;;4;1;1;25;1.27649482003632;3.53393274853804;;1.176117044483;
;;TEEJET XR;bleu;;1.18;;4;1;2;26;1.29959214461177;3.54498120300755;;1.1955307103494;
;;TEEJET XR;bleu;;1.18;;4;1;3;27;1.24941519812026;3.54595394736845;;1.14921388973865;
;;TEEJET XR;bleu;;1.18;;4;1;4;28;1.34445936131582;3.55238486842108;;1.23551579270415;
;;TEEJET XR;bleu;;1.18;;4;1;5;29;1.29030011748372;3.56083333333336;;1.18433766392292;
