***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.43999999999998;1.40103092783504;1.45670103092782;4.00000000000107;0;
2;1.83278350515462;1.82474226804122;1.84020618556699;8.3608247422689;-2;
3;2.74948453608245;2.73092783505152;2.77113402061854;8.35051546391822;-2;
4;2.75659793814431;2.74329896907214;2.780412371134;31.0850515463923;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;0.12;3.05;1.58201498751043;2441.66666666667;
2;0.12;2.94;2.52797347699957;2350;
3;0.12;2.94;2.52797347699957;2350;
4;0.12;2.94;2.52797347699957;2350;
5;0.12;2.94;2.52797347699957;2350;
6;-0.03;3.08;2.70946227594834;2980;
7;-0.03;3.08;2.70946227594834;2980;
8;-0.03;3.08;2.70946227594834;2980;
9;-0.03;3.02;0.45738045738047;2920;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;rouge;;1.58;;1;1;1;1;1.37206995621062;2.13190789473686;;1.62761867139793;
;;TEEJET XR;rouge;;1.58;;1;1;2;2;1.47428225461925;2.13720394736844;;1.74669984482958;
;;TEEJET XR;rouge;;1.58;;1;1;3;3;1.47799906547047;2.14250000000002;;1.74893782902628;
;;TEEJET XR;rouge;;1.58;;1;1;4;4;1.52074239025954;2.13304276315792;;1.80350145977886;
;;TEEJET XR;rouge;;1.58;;1;1;5;5;1.50587514685464;2.14136513157897;;1.78239612668081;
;;TEEJET XR;rouge;;1.58;;1;1;6;6;1.33118503684717;2.16973684210528;;1.56529256711992;
;;TEEJET XR;rouge;;1.58;;1;1;7;7;1.48914949802414;2.17087171052634;;1.75057953543685;
;;TEEJET XR;rouge;;1.58;;1;1;8;8;1.52286628217452;2.16238721804513;;1.79372419246618;
;;TEEJET XR;rouge;;1.58;;2;1;1;9;1.39330887536046;2.07851503759401;;1.67390746242337;
;;TEEJET XR;rouge;;1.58;;2;1;2;10;1.36649473993378;2.08466374269008;;1.63927035530825;
;;TEEJET XR;rouge;;1.58;;2;1;3;11;1.4501229840863;2.09321428571431;;1.73603556646699;
;;TEEJET XR;rouge;;1.58;;2;1;4;12;1.48888401153477;2.09105263157897;;1.78335995967004;
;;TEEJET XR;rouge;;1.58;;2;1;5;13;1.47401676812988;2.08543233082709;;1.76792973475003;
;;TEEJET XR;rouge;;1.58;;2;1;6;14;1.50401674142903;2.08613486842107;;1.80360780819362;
;;TEEJET XR;rouge;;1.58;;2;1;7;15;1.50401674142903;2.08629699248122;;1.80353772854946;
;;TEEJET XR;rouge;;1.58;;2;1;8;16;1.47401676812988;2.09407894736844;;1.76427599880225;
;;TEEJET XR;rouge;;1.58;;3;1;1;17;1.20853027875681;2.12996240601506;;1.43427422555297;
;;TEEJET XR;rouge;;1.58;;3;1;2;18;1.38879560504112;2.12434210526318;;1.65039056542655;
;;TEEJET XR;rouge;;1.58;;3;1;3;19;1.39118498344548;2.12434210526318;;1.6532300095906;
;;TEEJET XR;rouge;;1.58;;3;1;4;20;1.45941501121436;2.12866541353386;;1.7325498308194;
;;TEEJET XR;rouge;;1.58;;3;1;5;21;1.49525568727972;2.1118585526316;;1.78214762802374;
;;TEEJET XR;rouge;;1.58;;3;1;6;22;1.49100790344975;2.11034539473686;;1.77772181746807;
;;TEEJET XR;rouge;;1.58;;3;1;7;23;1.4846362277048;2.12699013157897;;1.7631852487592;
;;TEEJET XR;rouge;;1.58;;3;1;8;24;1.48038844387483;2.11299342105265;;1.763953941909;
;;TEEJET XR;rouge;;1.58;;4;1;1;25;1.33118503684717;2.1046710526316;;1.58930386930053;
;;TEEJET XR;rouge;;1.58;;4;1;2;26;1.42516725408523;2.0919172932331;;1.70668828472853;
;;TEEJET XR;rouge;;1.58;;4;1;3;27;1.45198138951191;2.10164473684213;;1.73477048685128;
;;TEEJET XR;rouge;;1.58;;4;1;4;28;1.49525568727972;2.10315789473686;;1.7858301506764;
;;TEEJET XR;rouge;;1.58;;4;1;5;29;1.50959195770587;2.09672697368423;;1.80571522439311;
;;TEEJET XR;rouge;;1.58;;4;1;6;30;1.50959195770587;2.08235197368423;;1.8119371583987;
;;TEEJET XR;rouge;;1.58;;4;1;7;31;1.49100790344975;2.10769736842107;;1.77883819607852;
;;TEEJET XR;rouge;;1.58;;4;1;8;32;1.48357428174731;2.10958881578949;;1.76917590638731;
;;TEEJET XR;rouge;;1.58;;5;1;1;33;1.49100790344975;2.10142857142859;;1.78148945716935;
;;TEEJET XR;rouge;;1.58;;5;1;2;34;1.52074239025954;2.10769736842107;;1.81431275040895;
;;TEEJET XR;rouge;;1.58;;5;1;3;35;1.42516725408523;2.12963815789476;;1.69150603872099;
;;TEEJET XR;rouge;;1.58;;5;1;4;36;1.46127341663997;2.13266447368423;;1.73312881878548;
;;TEEJET XR;rouge;;1.58;;5;1;5;37;1.46870703834241;2.12850328947371;;1.74364729593212;
;;TEEJET XR;rouge;;1.58;;5;1;6;38;1.48543268717292;2.12131578947371;;1.76648901660872;
;;TEEJET XR;rouge;;1.58;;5;1;7;39;1.48914949802414;2.09899671052634;;1.78029940957765;
;;TEEJET XR;rouge;;1.58;;5;1;8;40;1.49737957919471;2.10315789473686;;1.7883667805323;
;;TEEJET XR;rouge;;1.58;;6;1;1;41;1.50401674142903;2.14363486842107;;1.77925375684275;
;;TEEJET XR;rouge;;1.58;;6;1;2;42;1.48914949802414;2.14336466165416;;1.76177682873986;
;;TEEJET XR;rouge;;1.58;;6;1;3;43;1.33171600982591;2.13687969924814;;1.57790993852821;
