***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.46257731958762;1.44742268041237;1.47525773195876;2.49484536082509;0;
2;2.01525773195876;2.00103092783504;2.02577319587628;0.76288659793777;0;
3;5.22463917525771;3.59072164948452;5.66907216494843;74.154639175257;-3;
4;3.59597938144328;3.59072164948452;3.60618556701029;10.1005154639179;-2;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;-0.07;3.68;12.9219229457893;3580;
2;-0.07;3.68;12.9219229457893;3580;
3;-0.07;3.71;13.9590443686007;3610;
4;-0.07;3.71;13.9590443686007;3610;
5;-0.07;3.7;13.6131013306039;3600;
6;-0.07;3.7;13.6131013306039;3600;
7;-0.07;3.58;9.48012232415902;3480;
8;-0.07;3.58;9.48012232415902;3480;
9;-0.07;3.6;10.1666099965998;3500;
10;-0.07;0.07;98.0874316939891;30;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;lilas;;0.99;;1;1;1;1;1.13207016981737;3.84199248120304;;1.00035862028212;
;;TEEJET XR;lilas;;0.99;;1;1;2;2;1.12145071024245;3.85350328947371;;0.98949351137606;
;;TEEJET XR;lilas;;0.99;;1;1;3;3;1.10260116949696;3.8469883040936;;0.97368536678844;
;;TEEJET XR;lilas;;0.99;;1;1;4;4;1.03861892555805;3.84518092105266;;0.91739943843836;
;;TEEJET XR;lilas;;0.99;;1;1;5;5;1.05428262843106;3.85501644736845;;0.93004628074594;
;;TEEJET XR;lilas;;0.99;;1;1;6;6;1.03649503364307;3.85047697368424;;0.91489359581138;
;;TEEJET XR;lilas;;0.99;;1;1;7;7;1.02268973619567;3.82296992481206;;0.90594969681327;
;;TEEJET XR;lilas;;0.99;;1;1;8;8;1.01950389832319;3.81756578947371;;0.90376652867234;
;;TEEJET XR;lilas;;0.99;;2;1;1;9;1.03569857417495;3.8107565789474;;0.91894263561074;
;;TEEJET XR;lilas;;0.99;;2;1;2;10;1.03861892555805;3.81226973684213;;0.92135086641156;
;;TEEJET XR;lilas;;0.99;;2;1;3;11;1.04127379045178;3.80432565789477;;0.92466990129081;
