***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.7260824742268;1.71030927835051;1.73195876288659;15.0721649484531;-3;
2;2.25154639175257;2.25154639175257;2.25154639175257;12.5773195876284;-2;
3;3.25979381443298;3.25979381443298;3.25979381443298;8.65979381443252;-2;
4;3.25979381443298;3.25979381443298;3.25979381443298;18.5051546391756;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;3.26;3.22;1.82926829268295;1.22699386503068;
2;3.26;3.22;1.82926829268295;1.22699386503068;
3;3.25;3.34;2.45398773006131;2.76923076923076;
4;3.25;3.34;2.45398773006131;2.76923076923076;
5;3.39;3.26;0.40733197556009;3.83480825958702;
6;3.39;3.26;0.40733197556009;3.83480825958702;
7;3.39;3.26;0.40733197556009;3.83480825958702;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;lilas;;0.99;;1;1;1;1;1.29401692833494;3.87182330827071;;1.13905008344164;
;;TEEJET XR;lilas;;0.99;;1;1;2;2;1.31684876642102;3.96218045112785;;1.14585431138555;
;;TEEJET XR;lilas;;0.99;;1;1;3;3;1.28100809035566;3.94845394736845;;1.11660343992461;
;;TEEJET XR;lilas;;0.99;;1;1;4;4;1.29587533376055;3.92327067669176;;1.13318212330733;
;;TEEJET XR;lilas;;0.99;;1;1;5;5;1.29560984727118;3.92235197368424;;1.13308264124737;
;;TEEJET XR;lilas;;0.99;;1;1;6;6;1.33861865854961;3.98182748538015;;1.16192014522266;
;;TEEJET XR;lilas;;0.99;;1;1;7;7;1.33596379365588;3.96055921052635;;1.16272513411796;
;;TEEJET XR;lilas;;0.99;;1;1;8;8;1.34233546940084;3.97871710526319;;1.16560167491871;
;;TEEJET XR;lilas;;0.99;;2;1;1;9;1.16817633237211;3.80659539473687;;1.03705232975504;
;;TEEJET XR;lilas;;0.99;;2;1;2;10;1.27224703620635;3.83161654135341;;1.12574766660128;
;;TEEJET XR;lilas;;0.99;;2;1;3;11;1.30410541493111;3.88911654135341;;1.14537538841565;
;;TEEJET XR;lilas;;0.99;;2;1;4;12;1.29215852290933;3.89625000000003;;1.13384324277795;
;;TEEJET XR;lilas;;0.99;;2;1;5;13;1.29959214461177;3.82324013157898;;1.15120301100226;
;;TEEJET XR;lilas;;0.99;;2;1;6;14;1.28074260386628;3.85842105263161;;1.12932170369084;
;;TEEJET XR;lilas;;0.99;;2;1;7;15;1.21224708960803;3.88603618421056;;1.06511955315651;
