***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.35061855670102;1.33298969072163;1.3762886597938;9.95876288659898;-2;
2;1.59896907216493;1.59896907216493;1.59896907216493;20.0515463917534;-2;
3;2.18350515463916;2.18350515463916;2.18350515463916;27.2164948453615;-3;
4;2.00257731958761;1.98247422680411;2.18350515463916;49.9355670103098;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;2.66;2.65;2.44845360824741;0.37593984962407;
2;2.66;2.64;1.99613650998069;0.75187969924812;
3;2.64;2.65;2.44845360824741;0.37878787878787;
4;2.61;2.55;2.04865556978233;2.29885057471263;
5;2.61;2.55;2.04865556978233;2.29885057471263;
6;2.61;2.55;2.04865556978233;2.29885057471263;
7;2.58;2.58;0.70558050032073;0;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;rouge;;1.58;;1;1;1;1;1.46127341663997;2.73263157894739;;1.53109299544877;
;;TEEJET XR;rouge;;1.58;;1;1;2;2;1.45702563281;2.73565789473687;;1.52579759664229;
;;TEEJET XR;rouge;;1.58;;1;1;3;3;1.3683531453594;2.72725146198833;;1.43514648139828;
;;TEEJET XR;rouge;;1.58;;1;1;4;4;1.38693719961551;2.72758771929827;;1.4545480112172;
;;TEEJET XR;rouge;;1.58;;1;1;5;5;1.38268941578554;2.72203947368423;;1.45157024206078;
;;TEEJET XR;rouge;;1.58;;1;1;6;6;1.40605222685037;2.74587171052634;;1.46967720602373;
;;TEEJET XR;rouge;;1.58;;1;1;7;7;1.40552125387162;2.71966165413536;;1.4761843801231;
;;TEEJET XR;rouge;;1.58;;1;1;8;8;1.41295487557407;2.73128654970763;;1.48083028141021;
;;TEEJET XR;rouge;;1.58;;2;1;1;9;1.43897255153263;2.74398026315792;;1.50460550184457;
;;TEEJET XR;rouge;;1.58;;2;1;2;10;1.39755665919043;2.72528195488724;;1.46630505226911;
