***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.79103092783504;1.78453608247422;1.79381443298968;19.4020618556696;-3;
2;2.0981443298969;2.08762886597937;2.1061855670103;4.90721649484489;0;
3;3.25948453608246;3.2443298969072;3.27216494845359;8.64948453608202;-2;
4;2.97587628865978;2.96597938144329;2.98144329896906;25.6030927835055;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;3.07;3;0.66225165562912;2.28013029315962;
2;3.07;3;0.66225165562912;2.28013029315962;
3;3.07;3;0.66225165562912;2.28013029315962;
4;3.06;3;0.66225165562912;1.96078431372549;
5;3.1;3.04;0.8849557522124;1.93548387096774;
6;3.1;3.04;0.8849557522124;1.93548387096774;
7;3.1;3.04;0.8849557522124;1.93548387096774;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;verte;;0.59;;1;1;1;1;0.62870778596604;4.57225328947372;;0.50926558150487;
;;TEEJET XR;verte;;0.59;;1;1;2;2;0.67888473245755;4.55447368421056;;0.5509822024274;
;;TEEJET XR;verte;;0.59;;1;1;3;3;0.68445994873438;4.56468750000003;;0.55488520116813;
;;TEEJET XR;verte;;0.59;;1;1;4;4;0.69030065150059;4.56960526315793;;0.55931899373631;
;;TEEJET XR;verte;;0.59;;1;1;5;5;0.70118559756488;4.5592293233083;;0.5687846871924;
;;TEEJET XR;verte;;0.59;;1;1;6;6;0.69030065150059;4.58019736842109;;0.5586718824549;
;;TEEJET XR;verte;;0.59;;1;1;7;7;0.70092011107551;4.54496240601507;;0.56946101889533;
;;TEEJET XR;verte;;0.59;;1;1;8;8;0.6202122183061;4.22595029239769;;0.52256311614781;
;;TEEJET XR;verte;;0.59;;2;1;1;9;0.65658386735021;4.21485380116962;;0.55393598325365;
;;TEEJET XR;verte;;0.59;;2;1;2;10;0.66773429990388;4.21703947368424;;0.5631971905414;
;;TEEJET XR;verte;;0.59;;2;1;3;11;0.64171662394532;4.22876644736845;;0.54050170393786;
;;TEEJET XR;verte;;0.59;;2;1;4;12;0.6379998130941;4.23541353383462;;0.53694928553108;
;;TEEJET XR;verte;;0.59;;2;1;5;13;0.63720335362598;4.23065789473688;;0.53658030264132;
;;TEEJET XR;verte;;0.59;;2;1;6;14;0.67888473245755;4.23411654135342;;0.57144608996492;
;;TEEJET XR;verte;;0.59;;2;1;7;15;0.61755735341237;4.01049342105266;;0.53412022167639;
;;TEEJET XR;verte;;0.59;;2;1;8;16;0.60322108298622;4.01578947368424;;0.52137676237464;
;;TEEJET XR;verte;;0.59;;3;1;1;17;0.62233611022108;4.00435672514623;;0.53866560872846;
