***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.57113402061855;1.57113402061855;1.57113402061855;4.74226804123673;0;
2;2.03381443298968;1.95463917525772;2.08144329896906;1.69072164948414;0;
3;3.08474226804123;3.01237113402061;3.09278350515463;2.82474226804087;0;
4;2.99103092783504;2.95979381443298;2.99999999999999;25.224226804124;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;1.51;1.55;0.24135156878521;2.64900662251656;
2;1.51;1.55;0.24135156878521;2.64900662251656;
3;1.51;1.55;0.24135156878521;2.64900662251656;
4;1.46;1.55;0.24135156878521;6.16438356164384;
5;1.46;1.55;0.24135156878521;6.16438356164384;
6;1.46;1.55;0.24135156878521;6.16438356164384;
7;1.48;1.55;0.24135156878521;4.72972972972973;
8;1.48;1.55;0.24135156878521;4.72972972972973;
9;1.5;1.58;1.93548387096773;5.33333333333334;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;bleu;;1.18;;1;1;1;1;1.17667190003204;3.00235197368424;;1.1762109208431;
;;TEEJET XR;bleu;;1.18;;1;1;2;2;1.08215870981523;3.00916118421055;;1.08051017527376;
;;TEEJET XR;bleu;;1.18;;1;1;3;3;1.06357465555912;3.00235197368424;;1.0631579839431;
;;TEEJET XR;bleu;;1.18;;1;1;4;4;1.0726011961978;3.00651315789476;;1.07143875182684;
;;TEEJET XR;bleu;;1.18;;1;1;5;5;1.04870741215423;3.00029239766084;;1.04865630929075;
;;TEEJET XR;bleu;;1.18;;1;1;6;6;1.07100827726156;3.02013157894739;;1.06743274788055;
;;TEEJET XR;bleu;;1.18;;1;1;7;7;1.05428262843106;3.02013157894739;;1.0507629371328;
;;TEEJET XR;bleu;;1.18;;1;1;8;8;1.04074281747303;3.01332236842108;;1.03843962575836;
;;TEEJET XR;bleu;;1.18;;2;1;1;9;1.00596408736516;3.02618421052634;;1.00160255493575;
;;TEEJET XR;bleu;;1.18;;2;1;2;10;0.94091989746876;2.82531250000002;;0.96957193155857;
;;TEEJET XR;bleu;;1.18;;2;1;3;11;0.97277827619353;2.82569078947371;;1.00233333211425;
;;TEEJET XR;bleu;;1.18;;2;1;4;12;1.0173800064082;2.81509868421055;;1.05026045640359;
;;TEEJET XR;bleu;;1.18;;2;1;5;13;1.01950389832319;2.80980263157897;;1.05344438020128;
;;TEEJET XR;bleu;;1.18;;2;1;6;14;1.01339770906761;2.83023026315792;;1.04334913490125;
;;TEEJET XR;bleu;;1.18;;2;1;7;15;1.00410568193955;2.80699248120303;;1.03805275958236;
;;TEEJET XR;bleu;;1.18;;2;1;8;16;1.00968089821639;2.81064327485383;;1.04313832828296;
;;TEEJET XR;bleu;;1.18;;3;1;1;17;0.8331323827833;2.73565789473687;;0.87245643364834;
;;TEEJET XR;bleu;;1.18;;3;1;2;18;0.95021192459682;2.74322368421055;;0.99368902402477;
;;TEEJET XR;bleu;;1.18;;3;1;3;19;0.98552162768344;2.73133458646619;;1.03285494892609;
;;TEEJET XR;bleu;;1.18;;3;1;4;20;0.99614108725836;2.74511513157897;;1.04136073667671;
;;TEEJET XR;bleu;;1.18;;3;1;5;21;0.9799464114066;2.72701127819551;;1.02782573427973;
;;TEEJET XR;bleu;;1.18;;3;1;6;22;1.10233568300759;2.73944078947371;;1.15356888735696;
;;TEEJET XR;bleu;;1.18;;3;1;7;23;1.05561006087793;2.75532894736845;;1.10148204109945;
;;TEEJET XR;bleu;;1.18;;3;1;8;24;1.0322472498131;2.7420888157895;;1.07970124741278;
;;TEEJET XR;bleu;;1.18;;4;1;1;25;1.011539303642;2.76516447368424;;1.05361732961571;
;;TEEJET XR;bleu;;1.18;;4;1;2;26;1.044990601303;2.73111842105266;;1.09522348033032;
;;TEEJET XR;bleu;;1.18;;4;1;3;27;1.02587557406814;2.7587335526316;;1.06979469106186;
;;TEEJET XR;bleu;;1.18;;4;1;4;28;1.02083133077005;2.74398026315792;;1.06739244963082;
;;TEEJET XR;bleu;;1.18;;4;1;5;29;0.99826497917334;2.75230263157897;;1.04221752179594;
;;TEEJET XR;bleu;;1.18;;4;1;6;30;1.01711451991883;2.76255847953219;;1.05992403752473;
;;TEEJET XR;bleu;;1.18;;4;1;7;31;1.00251276300331;2.74549342105266;;1.04794944988488;
;;TEEJET XR;bleu;;1.18;;4;1;8;32;1.0173800064082;2.73754934210529;;1.06503246913535;
;;TEEJET XR;bleu;;1.18;;5;1;1;33;1.011539303642;2.76765037593988;;1.05314404402262;
;;TEEJET XR;bleu;;1.18;;5;1;2;34;1.00968089821639;2.73738721804514;;1.05700404653739;
;;TEEJET XR;bleu;;1.18;;5;1;3;35;0.99826497917334;2.7659210526316;;1.0396485997831;
;;TEEJET XR;bleu;;1.18;;5;1;4;36;0.99401719534338;2.75554511278198;;1.03717194749964;
;;TEEJET XR;bleu;;1.18;;5;1;5;37;0.89844205916907;2.71712171052634;;0.94405251945871;
;;TEEJET XR;bleu;;1.18;;5;1;6;38;0.96215881661861;2.73263157894739;;1.00813072205295;
;;TEEJET XR;bleu;;1.18;;5;1;7;39;0.96136235715049;2.73263157894739;;1.00729620778689;
;;TEEJET XR;bleu;;1.18;;5;1;8;40;0.99826497917334;2.75986842105266;;1.04078799534555;
;;TEEJET XR;bleu;;1.18;;6;1;1;41;0.98552162768344;2.7780263157895;;1.02413830297466;
;;TEEJET XR;bleu;;1.18;;6;1;2;42;1.00224727651394;2.74776315789476;;1.04723913679876;
;;TEEJET XR;bleu;;1.18;;6;1;3;43;1.00251276300331;2.76894736842108;;1.04350176331167;
;;TEEJET XR;bleu;;1.18;;6;1;4;44;1.01897292534444;2.76894736842108;;1.06063492017633;
;;TEEJET XR;bleu;;1.18;;6;1;5;45;0.9799464114066;2.76894736842108;;1.02001275793269;
;;TEEJET XR;bleu;;1.18;;6;1;6;46;0.99109684396027;2.74776315789476;;1.03558815042436;
;;TEEJET XR;bleu;;1.18;;6;1;7;47;0.97622960055538;2.74851973684213;;1.01991309832696;
;;TEEJET XR;bleu;;1.18;;6;1;8;48;1.01339770906761;2.75381578947371;;1.05772581194101;
;;TEEJET XR;bleu;;1.18;;7;1;1;49;1.0173800064082;2.75949013157897;;1.06078996655641;
;;TEEJET XR;bleu;;1.18;;7;1;2;50;1.011539303642;2.75381578947371;;1.05578611603472;
;;TEEJET XR;bleu;;1.18;;7;1;3;51;0.99853046566272;2.75078947368424;;1.04278138637994;
;;TEEJET XR;bleu;;1.18;;7;1;4;52;1.0173800064082;2.75608552631581;;1.06144496372712;
;;TEEJET XR;bleu;;1.18;;7;1;5;53;0.99295524938588;2.7659210526316;;1.03411875224369;
;;TEEJET XR;bleu;;1.18;;7;1;6;54;1.00038887108833;2.75078947368424;;1.0447221489834;
;;TEEJET XR;bleu;;1.18;;7;1;7;55;0.94277830289437;2.75857142857145;;0.98316880327416;
;;TEEJET XR;bleu;;1.18;;7;1;8;56;1.08401711524084;2.79618421052634;;1.12282966228823;
;;TEEJET XR;bleu;;1.18;;8;1;1;57;0.80499081490975;2.61157894736844;;0.86277980862304;
;;TEEJET XR;bleu;;1.18;;8;1;2;58;0.96136235715049;2.84244360902258;;0.98764714262011;
;;TEEJET XR;bleu;;1.18;;8;1;3;59;1.16021173769091;2.80753289473687;;1.19932104775928;
;;TEEJET XR;bleu;;1.18;;8;1;4;60;1.08109676385774;2.83509398496243;;1.1120939149147;
