***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.7761855670103;1.76907216494845;1.78453608247422;18.4123711340202;-3;
2;2.36969072164948;2.35670103092783;2.37835051546391;18.4845360824738;-2;
3;3.51742268041236;3.48556701030926;3.53195876288658;17.2474226804119;-3;
4;4.41123711340204;4.29896907216493;4.45360824742266;10.2809278350511;-2;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;-0.02;3.24;0.95529231944975;3140;
2;-0.02;3.26;0.26768642447417;3160;
3;-0.02;3.26;0.26768642447417;3160;
4;-0.02;3.26;0.26768642447417;3160;
5;-0.02;3.24;0.95529231944975;3140;
6;-0.01;3.31;1.455938697318;3210;
7;-0.01;3.28;0.42097206276312;3180;
8;-0.01;3.28;0.42097206276312;3180;
9;-0.01;3.28;0.42097206276312;3180;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;bleu;;1.18;;1;1;1;1;1.31260098259105;3.86360902255642;;1.15663616274803;
;;TEEJET XR;bleu;;1.18;;1;1;2;2;1.23083114386415;3.85842105263161;;1.08531122502545;
;;TEEJET XR;bleu;;1.18;;1;1;3;3;1.19366303535192;3.83334586466168;;1.05597435152154;
;;TEEJET XR;bleu;;1.18;;1;1;4;4;1.21224708960803;3.86939144736845;;1.06740797631624;
;;TEEJET XR;bleu;;1.18;;1;1;5;5;1.23614087365161;3.87441729323311;;1.0877407453792;
;;TEEJET XR;bleu;;1.18;;1;1;6;6;1.25127360354587;3.89246710526319;;1.09850094469743;
;;TEEJET XR;bleu;;1.18;;1;1;7;7;1.22711433301293;3.87893274853804;;1.07916917336846;
;;TEEJET XR;bleu;;1.18;;1;1;8;8;1.2510081170565;3.8973308270677;;1.09758236007252;
;;TEEJET XR;bleu;;1.18;;2;1;1;9;1.23826476556659;3.76611842105266;;1.10516508724395;
;;TEEJET XR;bleu;;1.18;;2;1;2;10;1.21410549503365;3.76979323308274;;1.08307439011759;
;;TEEJET XR;bleu;;1.18;;2;1;3;11;1.25950368471644;3.80293859649126;;1.11866593435439;
;;TEEJET XR;bleu;;1.18;;2;1;4;12;1.20295506247998;3.80697368421056;;1.06787420031266;
;;TEEJET XR;bleu;;1.18;;2;1;5;13;1.23826476556659;3.78087171052634;;1.10300675465393;
;;TEEJET XR;bleu;;1.18;;2;1;6;14;1.24012317099221;3.7770888157895;;1.1052152045815;
;;TEEJET XR;bleu;;1.18;;2;1;7;15;1.23189308982164;3.80508223684213;;1.0938345143634;
;;TEEJET XR;bleu;;1.18;;2;1;8;16;1.22976919790666;3.78995065789477;;1.09412630755677;
;;TEEJET XR;bleu;;1.18;;3;1;1;17;1.1899462245007;3.85501644736845;;1.04972331947791;
;;TEEJET XR;bleu;;1.18;;3;1;2;18;1.27012314429136;3.82859022556394;;1.12431243514538;
;;TEEJET XR;bleu;;1.18;;3;1;3;19;1.23826476556659;3.80470394736845;;1.09954677289198;
;;TEEJET XR;bleu;;1.18;;3;1;4;20;1.28074260386628;3.80192982456143;;1.13768081802821;
;;TEEJET XR;bleu;;1.18;;3;1;5;21;1.2717160632276;3.83464285714289;;1.12483371063947;
;;TEEJET XR;bleu;;1.18;;3;1;6;22;1.25313200897149;3.81945723684213;;1.1105973292728;
;;TEEJET XR;bleu;;1.18;;3;1;7;23;1.24941519812026;3.82550986842108;;1.10642695736586;
;;TEEJET XR;bleu;;1.18;;3;1;8;24;1.26056563067393;3.84069548872183;;1.11409224610142;
;;TEEJET XR;bleu;;1.18;;4;1;1;25;1.23268954928976;3.80697368421055;;1.09426977593644;
;;TEEJET XR;bleu;;1.18;;4;1;2;26;1.27012314429136;3.80646929824564;;1.12757461890663;
;;TEEJET XR;bleu;;1.18;;4;1;3;27;1.25737979280146;3.79902960526319;;1.11735394056566;
;;TEEJET XR;bleu;;1.18;;4;1;4;28;1.24383998184343;3.81907894736845;;1.1024167973918;
;;TEEJET XR;bleu;;1.18;;4;1;5;29;1.26614084695077;3.81680921052634;;1.12251569329248;
;;TEEJET XR;bleu;;1.18;;4;1;6;30;1.26587536046139;3.81907894736845;;1.12194677864335;
;;TEEJET XR;bleu;;1.18;;4;1;7;31;1.24676033322653;3.7983270676692;;1.10801955340999;
;;TEEJET XR;bleu;;1.18;;4;1;8;32;1.24941519812026;3.81870065789477;;1.10741296534167;
;;TEEJET XR;bleu;;1.18;;5;1;1;33;1.22525592758731;3.81605263157898;;1.08637624748202;
;;TEEJET XR;bleu;;1.18;;5;1;2;34;1.23401698173663;3.85274671052635;;1.0889214039256;
;;TEEJET XR;bleu;;1.18;;5;1;3;35;1.23614087365161;3.84934210526319;;1.09127784706431;
