***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;2.2010729613734;2.19527896995709;2.20171673819744;46.7381974248935;-3;
2;2.52682403433478;2.45278969957083;2.54291845493563;26.3412017167388;-3;
3;3.56523605150216;3.56330472103006;3.56652360515023;18.8412017167387;-3;
4;3.59581545064379;3.57618025751075;3.62124463519315;10.1046137339051;-2;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;3.37;2;15.5524278676988;40.6528189910979;
2;3.37;2.05;13.135593220339;39.1691394658754;
3;3.37;2;15.5524278676988;40.6528189910979;
4;3.37;2;15.5524278676988;40.6528189910979;
5;4.35;2.72;20.9785025945145;37.4712643678161;
6;4.35;2.72;20.9785025945145;37.4712643678161;
7;4.35;2.72;20.9785025945145;37.4712643678161;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;bleu;;1.18;;1;1;1;1;1.40366284844601;4.79103618421055;;1.11073052497626;
;;TEEJET XR;bleu;;1.18;;1;1;2;2;1.38481330770053;5.01225146198833;;1.07136000609019;
;;TEEJET XR;bleu;;1.18;;1;1;3;3;1.43578671366015;5.02317982456143;;1.10958657795928;
;;TEEJET XR;bleu;;1.18;;1;1;4;4;1.43578671366015;4.96694078947371;;1.1158506381299;
;;TEEJET XR;bleu;;1.18;;1;1;5;5;1.41454779451031;5.10280075187972;;1.08461085805251;
;;TEEJET XR;bleu;;1.18;;1;1;6;6;1.44428228132009;4.98780075187972;;1.12010352112913;
;;TEEJET XR;bleu;;1.18;;1;1;7;7;1.39330887536046;5.07475328947371;;1.07127399855307;
;;TEEJET XR;bleu;;1.18;;1;1;8;8;1.44853006515006;5.02368421052634;;1.11937853618784;
;;TEEJET XR;bleu;;1.18;;2;1;1;9;1.20853027875681;5.08837171052634;;0.92795891497292;
;;TEEJET XR;bleu;;1.18;;2;1;2;10;1.31897265833601;5.04070723684213;;1.01753810805201;
;;TEEJET XR;bleu;;1.18;;2;1;3;11;1.41853009185091;5.1012335526316;;1.08783136547695;
;;TEEJET XR;bleu;;1.18;;2;1;4;12;1.45569820036313;5.01806390977446;;1.12554763138456;
;;TEEJET XR;bleu;;1.18;;2;1;5;13;1.47428225461925;5.05461988304096;;1.13578731714797;
;;TEEJET XR;bleu;;1.18;;2;1;6;14;1.47056544376803;5.03162828947371;;1.13550933448496;
;;TEEJET XR;bleu;;1.18;;2;1;7;15;1.22127363024672;5.08004934210529;;0.93851159376464;
;;TEEJET XR;bleu;;1.18;;2;1;8;16;1.38481330770053;5.10955592105266;;1.06110968241003;
;;TEEJET XR;bleu;;1.18;;3;1;1;17;1.38268941578554;5.04675986842108;;1.06605336492552;
;;TEEJET XR;bleu;;1.18;;3;1;2;18;1.46499022749119;5.01233552631581;;1.13337932887474;
;;TEEJET XR;bleu;;1.18;;3;1;3;19;1.46764509238492;5.0745263157895;;1.12845415386998;
;;TEEJET XR;bleu;;1.18;;3;1;4;20;1.50587514685464;4.95370065789476;;1.17188423889393;
;;TEEJET XR;bleu;;1.18;;3;1;5;21;1.52074239025954;4.97266917293236;;1.18119471683126;
;;TEEJET XR;bleu;;1.18;;3;1;6;22;1.51012293068461;4.98585526315792;;1.1713942721109;
;;TEEJET XR;bleu;;1.18;;3;1;7;23;1.51012293068461;5.04902960526318;;1.16404285910936;
;;TEEJET XR;bleu;;1.18;;3;1;8;24;1.45490174089502;5.07311403508774;;1.11881164645674;
;;TEEJET XR;bleu;;1.18;;4;1;1;25;1.51012293068461;5.07340225563912;;1.16124345905532;
;;TEEJET XR;bleu;;1.18;;4;1;2;26;1.45277784898003;5.11939144736844;;1.11211748133913;
;;TEEJET XR;bleu;;1.18;;4;1;3;27;1.43153892983019;5.11523026315792;;1.09630449828194;
;;TEEJET XR;bleu;;1.18;;4;1;4;28;1.30198152301613;5.09707236842108;;0.99886098121503;
;;TEEJET XR;bleu;;1.18;;4;1;5;29;1.41667168642529;5.15295112781957;;1.08094060150016;
;;TEEJET XR;bleu;;1.18;;4;1;6;30;1.41667168642529;5.09674812030078;;1.08688415085525;
;;TEEJET XR;bleu;;1.18;;4;1;7;31;1.43711414610702;5.1205263157895;;1.10000482590645;
;;TEEJET XR;bleu;;1.18;;4;1;8;32;1.41667168642529;5.12809210526318;;1.08355742659903;
;;TEEJET XR;bleu;;1.18;;5;1;1;33;1.44268936238385;5.11663533834589;;1.10469203812253;
;;TEEJET XR;bleu;;1.18;;5;1;2;34;1.17242411620207;4.88144736842108;;0.91911756292707;
;;TEEJET XR;bleu;;1.18;;5;1;3;35;1.37206995621062;5.14133223684213;;1.04809113486231;
;;TEEJET XR;bleu;;1.18;;5;1;4;36;1.39330887536046;5.18609649122809;;1.05971171267427;
;;TEEJET XR;bleu;;1.18;;5;1;5;37;1.41667168642529;5.19353618421055;;1.07670879525286;
;;TEEJET XR;bleu;;1.18;;5;1;6;38;1.41879557834028;5.16981203007521;;1.08079437886463;
;;TEEJET XR;bleu;;1.18;;5;1;7;39;1.47614066004486;5.15570723684213;;1.12601518217027;
;;TEEJET XR;bleu;;1.18;;5;1;8;40;1.45755660578875;5.2139638157895;;1.10561023629737;
;;TEEJET XR;bleu;;1.18;;6;1;1;41;1.25870722524832;5.19769736842108;;0.95626851685627;
;;TEEJET XR;bleu;;1.18;;6;1;2;42;1.31472487450604;4.83189144736844;;1.03594553458122;
;;TEEJET XR;bleu;;1.18;;6;1;3;43;1.41295487557407;5.14851973684213;;1.07856849089086;
;;TEEJET XR;bleu;;1.18;;6;1;4;44;1.41667168642529;5.09833333333336;;1.08671516652677;
;;TEEJET XR;bleu;;1.18;;6;1;5;45;1.45941501121436;5.11879699248123;;1.11726317151794;
;;TEEJET XR;bleu;;1.18;;6;1;6;46;1.43525574068141;5.14095394736844;;1.09639756726998;
;;TEEJET XR;bleu;;1.18;;6;1;7;47;1.44640617323508;5.09064144736844;;1.11036212529283;
;;TEEJET XR;bleu;;1.18;;6;1;8;48;1.45755660578875;5.17327067669175;;1.10995010419542;
;;TEEJET XR;bleu;;1.18;;7;1;1;49;1.50799903876963;5.1499248120301;;1.15096269586301;
;;TEEJET XR;bleu;;1.18;;7;1;2;50;1.22764530599167;5.24936090225566;;0.92806911223594;
;;TEEJET XR;bleu;;1.18;;7;1;3;51;1.4294150379152;5.2786513157895;;1.07759976095622;
;;TEEJET XR;bleu;;1.18;;7;1;4;52;1.5122468225996;5.26805921052634;;1.14119007061371;
;;TEEJET XR;bleu;;1.18;;7;1;5;53;1.52445920111076;5.13868421052634;;1.16479760348977;
;;TEEJET XR;bleu;;1.18;;7;1;6;54;1.49313179536474;5.20375000000002;;1.1337062974025;
;;TEEJET XR;bleu;;1.18;;7;1;7;55;1.5122468225996;5.19887426900587;;1.14875826968634;
;;TEEJET XR;bleu;;1.18;;7;1;8;56;1.47401676812988;5.23250000000002;;1.11611368416644;

***Vitesse***
Parcours;Distance;Temps;Vitesse mesuree(km/h);Vitesse compteur(km/h);
1;56.81;21;9.73885714285714;10;
2;59.96;22;9.81163636363636;10;

***Debit***
Mesure;Debit theorique ( L/min);Debit affiche(L/min);erreur(%);
1;34.1304743404892;61;78.7259075026544

