***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.69603004291846;1.68669527896996;1.71566523605151;13.0686695278975;-2;
2;2.09645922746782;2.0697424892704;2.12446351931332;4.82296137339109;0;
3;3.18766094420602;3.17381974248929;3.21244635193135;6.25536480686747;-2;
4;3.17896995708156;3.1609442060086;3.18669527896997;20.525751072961;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;3.11;2.94;0.05665722379603;5.46623794212218;
2;3.11;2.94;0.05665722379603;5.46623794212218;
3;3.13;2.95;0.34013605442178;5.75079872204472;
4;3.14;2.94;0.05665722379603;6.36942675159236;
5;3.14;2.94;0.05665722379603;6.36942675159236;
6;3.14;2.94;0.05665722379603;6.36942675159236;
7;3.14;2.94;0.05665722379603;6.36942675159236;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;rouge;;1.58;;1;1;1;1;1.44215838940511;3.08873355263159;;1.4212921754794;
;;TEEJET XR;rouge;;1.58;;1;1;2;2;1.50029993057781;3.10456766917295;;1.47481705533467;
;;TEEJET XR;rouge;;1.58;;1;1;3;3;1.32932663142156;3.10889097744362;;1.30583885409942;
;;TEEJET XR;rouge;;1.58;;1;1;4;4;1.39251241589234;3.11672697368422;;1.36618755112341;
;;TEEJET XR;rouge;;1.58;;1;1;5;5;1.47401676812988;3.1125657894737;;1.44711745334241;
;;TEEJET XR;rouge;;1.58;;1;1;6;6;1.51702557940831;3.11067434210528;;1.48979412597361;
;;TEEJET XR;rouge;;1.58;;1;1;7;7;1.45569820036313;3.11239766081873;;1.42917178056679;
;;TEEJET XR;rouge;;1.58;;1;1;8;8;1.47242384919364;3.12575187969926;;1.44250132269482;
;;TEEJET XR;rouge;;1.58;;2;1;1;9;1.42038849727652;2.73427631578949;;1.4878069176034;
;;TEEJET XR;rouge;;1.58;;2;1;2;10;1.47826455195984;2.95627819548874;;1.48915580958962;
;;TEEJET XR;rouge;;1.58;;2;1;3;11;1.47401676812988;2.96465460526317;;1.48277754192492;
;;TEEJET XR;rouge;;1.58;;2;1;4;12;1.50375125493966;2.97222039473686;;1.51076225275439;
;;TEEJET XR;rouge;;1.58;;2;1;5;13;1.42410530812774;2.97259868421054;;1.43065392918243;
;;TEEJET XR;rouge;;1.58;;2;1;6;14;1.51012293068461;2.96838345864663;;1.51814386253759;
;;TEEJET XR;rouge;;1.58;;2;1;7;15;1.49286630887536;2.98192982456142;;1.49738278186388;
;;TEEJET XR;rouge;;1.58;;2;1;8;16;1.32746822599594;2.96189849624062;;1.33597913791677;
;;TEEJET XR;rouge;;1.58;;3;1;1;17;1.44454776780947;2.94979323308272;;1.45678931488148;
;;TEEJET XR;rouge;;1.58;;3;1;2;18;1.49100790344975;2.94384868421054;;1.50516056484389;
