***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.34999999999998;1.30515463917524;1.39175257731957;10.000000000001;-2;
2;1.63298969072163;1.63298969072163;1.63298969072163;18.3505154639183;-2;
3;2.82556701030926;2.77113402061854;2.86391752577317;5.81443298969144;-2;
4;3.66773195876286;3.62783505154637;3.69278350515461;8.30670103092846;-2;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;-0.02;2.78;0.13471037269869;2680;
2;-0.02;2.82;1.48448043184885;2720;
3;-0.02;2.82;1.48448043184885;2720;
4;-0.02;2.82;1.48448043184885;2720;
5;-0.02;2.78;0.13471037269869;2680;
6;2.67;2.78;0.13471037269869;4.11985018726593;
7;2.67;2.75;1.34529147982063;2.99625468164794;
8;2.67;2.75;1.34529147982063;2.99625468164794;
9;2.67;2.75;1.34529147982063;2.99625468164794;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;bleu;;1.18;;1;1;1;1;1.31631779344228;3.17548245614038;;1.27942997245053;
;;TEEJET XR;bleu;;1.18;;1;1;2;2;1.21914973833173;3.15682017543862;;1.18848240178458;
;;TEEJET XR;bleu;;1.18;;1;1;3;3;1.17454800811706;3.11562865497079;;1.15254676300681;
;;TEEJET XR;bleu;;1.18;;1;1;4;4;1.12118522375307;3.16312500000003;;1.09189233059495;
;;TEEJET XR;bleu;;1.18;;1;1;5;5;1.15330908896721;3.1586695906433;;1.12396876475795;
;;TEEJET XR;bleu;;1.18;;1;1;6;6;1.17879579194703;3.15698830409359;;1.14911294668727;
;;TEEJET XR;bleu;;1.18;;1;1;7;7;1.16817633237211;3.15718045112785;;1.13872623880879;
;;TEEJET XR;bleu;;1.18;;1;1;8;8;1.1554329808822;3.15847744360905;;1.1260728755507;
;;TEEJET XR;bleu;;1.18;;2;1;1;9;1.06835341236783;2.94750000000002;;1.07782601555851;
;;TEEJET XR;bleu;;1.18;;2;1;2;10;1.14481352130728;2.9720888157895;;1.1501764889979;
;;TEEJET XR;bleu;;1.18;;2;1;3;11;1.15968076471217;2.92631578947371;;1.17419029298713;
;;TEEJET XR;bleu;;1.18;;2;1;4;12;1.16021173769091;2.93453007518799;;1.17308261814381;
;;TEEJET XR;bleu;;1.18;;2;1;5;13;1.17030022428709;2.97560150375942;;1.17508837770144;
;;TEEJET XR;bleu;;1.18;;2;1;6;14;1.16021173769091;2.96868421052634;;1.16631505309665;
;;TEEJET XR;bleu;;1.18;;2;1;7;15;1.18251260279825;2.97560150375942;;1.18735072180319;
;;TEEJET XR;bleu;;1.18;;2;1;8;16;1.15091971056286;2.97372807017546;;1.15599253350844;
;;TEEJET XR;bleu;;1.18;;3;1;1;17;1.18251260279825;2.99721804511281;;1.18306126720341;
;;TEEJET XR;bleu;;1.18;;3;1;2;18;1.19791081918189;2.97095394736845;;1.20375236884669;
;;TEEJET XR;bleu;;1.18;;3;1;3;19;1.183043575777;3.00348684210529;;1.18235666015188;
;;TEEJET XR;bleu;;1.18;;3;1;4;20;1.17322057567019;3.01559210526318;;1.17018357906337;
;;TEEJET XR;bleu;;1.18;;3;1;5;21;1.15968076471217;3.01710526315792;;1.15638872838582;
;;TEEJET XR;bleu;;1.18;;3;1;6;22;1.17322057567019;3.02580592105266;;1.16820689200535;
;;TEEJET XR;bleu;;1.18;;3;1;7;23;1.17879579194703;3.03137218045115;;1.17268014990463;
;;TEEJET XR;bleu;;1.18;;3;1;8;24;1.1554329808822;3.00154135338348;;1.15513627345431;
;;TEEJET XR;bleu;;1.18;;4;1;1;25;1.04711449321799;3.0295888157895;;1.0419885667543;
;;TEEJET XR;bleu;;1.18;;4;1;2;26;1.08215870981523;3.00159539473687;;1.08187107947945;
;;TEEJET XR;bleu;;1.18;;4;1;3;27;1.08959233151768;3.0655263157895;;1.07788428722853;
;;TEEJET XR;bleu;;1.18;;4;1;4;28;1.12676044002991;3.02353618421055;;1.12236633807757;
;;TEEJET XR;bleu;;1.18;;4;1;5;29;1.16180465662715;3.03980263157897;;1.15417336250015;
;;TEEJET XR;bleu;;1.18;;4;1;6;30;1.13976927800919;3.05375730994155;;1.12969267857624;
;;TEEJET XR;bleu;;1.18;;4;1;7;31;1.15330908896721;3.04736842105266;;1.14431044103006;
;;TEEJET XR;bleu;;1.18;;4;1;8;32;1.14056573747731;3.02668859649125;;1.13552598882366;
;;TEEJET XR;bleu;;1.18;;5;1;1;33;1.01711451991883;2.99819078947371;;1.01742135442384;
;;TEEJET XR;bleu;;1.18;;5;1;2;34;1.11375160205063;3.01364661654138;;1.11122705483581;
;;TEEJET XR;bleu;;1.18;;5;1;3;35;1.13047725088113;2.98314327485383;;1.13366672225345;
;;TEEJET XR;bleu;;1.18;;5;1;4;36;1.183043575777;3.05606907894739;;1.17214080640254;
;;TEEJET XR;bleu;;1.18;;5;1;5;37;1.22764530599167;3.0361278195489;;1.22031938271391;
;;TEEJET XR;bleu;;1.18;;5;1;6;38;1.15968076471217;3.01975328947371;;1.15588159765601;
;;TEEJET XR;bleu;;1.18;;5;1;7;39;1.11295514258251;3.05077302631582;;1.10365500966775;
;;TEEJET XR;bleu;;1.18;;5;1;8;40;1.13976927800919;3.01979532163745;;1.13602743569488;
;;TEEJET XR;bleu;;1.18;;6;1;1;41;1.03437114172808;3.05606907894739;;1.02483851737107;
;;TEEJET XR;bleu;;1.18;;6;1;2;42;1.12569849407241;3.08746710526318;;1.10963856710135;
;;TEEJET XR;bleu;;1.18;;6;1;3;43;1.10445957492257;3.04320723684213;;1.0965910271195;
;;TEEJET XR;bleu;;1.18;;6;1;4;44;0.84959254512443;3.07082236842108;;0.83973832136809;
;;TEEJET XR;bleu;;1.18;;6;1;5;45;1.11507903449749;3.08065789473687;;1.1003846951288;
;;TEEJET XR;bleu;;1.18;;6;1;6;46;1.14268962939229;3.09708646616544;;1.12463669077706;
;;TEEJET XR;bleu;;1.18;;6;1;7;47;1.1750789810958;3.04563909774439;;1.16624143126343;
;;TEEJET XR;bleu;;1.18;;6;1;8;48;1.19153914343694;3.07309210526318;;1.1772837591654;
;;TEEJET XR;bleu;;1.18;;7;1;1;49;1.044990601303;3.09881578947371;;1.02819415731727;
;;TEEJET XR;bleu;;1.18;;7;1;2;50;1.1416276834348;3.03791118421055;;1.1344819289959;
;;TEEJET XR;bleu;;1.18;;7;1;3;51;1.19153914343694;3.02964285714288;;1.18569564170809;
;;TEEJET XR;bleu;;1.18;;7;1;4;52;1.19153914343694;3.05442982456143;;1.18087482910148;
;;TEEJET XR;bleu;;1.18;;7;1;5;53;1.17879579194703;3.09406015037597;;1.16073967174583;
;;TEEJET XR;bleu;;1.18;;7;1;6;54;1.19366303535192;3.07611842105266;;1.17880195444942;
;;TEEJET XR;bleu;;1.18;;7;1;7;55;1.15968076471217;3.02921052631582;;1.15407584805374;
;;TEEJET XR;bleu;;1.18;;7;1;8;56;1.17879579194703;3.06855263157897;;1.16555404488183;
;;TEEJET XR;bleu;;1.18;;8;1;1;57;1.11932681832746;3.06250000000003;;1.10784623978147;
;;TEEJET XR;bleu;;1.18;;8;1;2;58;1.17879579194703;3.06250000000003;;1.16670525908608;
;;TEEJET XR;bleu;;1.18;;8;1;3;59;1.14906130513724;3.06250000000003;;1.13727574943377;
;;TEEJET XR;bleu;;1.18;;8;1;4;60;1.1278223859874;3.03122807017546;;1.12199786610645;
;;TEEJET XR;bleu;;1.18;;8;1;5;61;1.12118522375307;3.05947368421055;;1.11023427801086;
;;TEEJET XR;bleu;;1.18;;8;1;6;62;1.12994627790238;3.08186842105266;;1.11483700750097;
;;TEEJET XR;bleu;;1.18;;8;1;7;63;1.14534449428602;3.12605263157897;;1.122014881266;
;;TEEJET XR;bleu;;1.18;;8;1;8;64;1.18808781907509;3.12605263157897;;1.1638875638758;
;;TEEJET XR;bleu;;1.18;;9;1;1;65;1.05614103385667;3.08714285714288;;1.04112812908911;
;;TEEJET XR;bleu;;1.18;;9;1;2;66;1.15277811598847;3.07225146198833;;1.1391422791107;
;;TEEJET XR;bleu;;1.18;;9;1;3;67;1.16021173769091;3.07611842105266;;1.14576712477487;
;;TEEJET XR;bleu;;1.18;;9;1;4;68;1.14534449428602;3.10486842105266;;1.12583607279194;
;;TEEJET XR;bleu;;1.18;;9;1;5;69;1.0933091423689;3.07763157894739;;1.07943200908942;
;;TEEJET XR;bleu;;1.18;;9;1;6;70;1.12676044002991;3.01483552631582;;1.12398471660077;
;;TEEJET XR;bleu;;1.18;;9;1;7;71;1.17136217024458;3.12605263157897;;1.14750260111545;
;;TEEJET XR;bleu;;1.18;;9;1;8;72;1.14906130513724;3.10524671052634;;1.12942077513591;

***Vitesse***
Parcours;Distance;Temps;Vitesse mesuree(km/h);Vitesse compteur(km/h);
1;53.72;19;10.1785263157895;10;
2;52.46;18;10.492;10;

***Debit***
Mesure;Debit theorique ( L/min);Debit affiche(L/min);erreur(%);
1;28.0877363558689;64;127.857450629436

