***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.93298969072163;1.90824742268039;1.97010309278349;28.8659793814421;-3;
2;1.90608247422679;1.86185567010308;1.9484536082474;4.69587628866067;0;
3;2.12783505154637;2.05051546391751;2.20206185567008;29.0721649484542;-3;
4;-0.03402061855671;-0.03402061855671;0;-1;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;1.97;1.9;2.39726027397259;3.55329949238578;
2;1.93;1.99;3.01984469370147;3.10880829015544;
3;1.84;1.99;3.01984469370147;8.15217391304347;
4;1.97;1.89;2.99401197604789;4.06091370558375;
5;1.93;1.88;3.58974358974358;2.59067357512952;
6;1.95;1.91;1.79948586118252;2.05128205128204;
7;1.79;2.02;4.84429065743944;12.8491620111732;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;bleu;;1.18;;1;1;1;1;1.03437114172808;2.91269736842108;;1.04975835813036;
;;TEEJET XR;bleu;;1.18;;1;1;2;2;1.20640638684183;3.05606907894739;;1.19528830896463;
;;TEEJET XR;bleu;;1.18;;1;1;3;3;1.06171625013351;2.98759868421055;;1.06391752357724;
;;TEEJET XR;bleu;;1.18;;1;1;4;4;0.73915016554523;3.0246710526316;;0.73612951471584;
;;TEEJET XR;bleu;;1.18;;1;1;5;5;0.86445978852932;2.88870300751882;;0.88095551130285;
;;TEEJET XR;bleu;;1.18;;1;1;6;6;0.98552162768344;2.81904970760236;;1.01665925837815;
;;TEEJET XR;bleu;;1.18;;1;1;7;7;1.01897292534444;2.9424561403509;;1.02888840514349;
;;TEEJET XR;bleu;;1.18;;1;1;8;8;1.08322065577272;3.09175438596494;;1.06702616113527;
;;TEEJET XR;bleu;;1.18;;2;1;1;9;1.02799946598313;2.87675986842108;;1.04978825752597;
;;TEEJET XR;bleu;;1.18;;2;1;2;10;1.06171625013351;2.97889802631582;;1.06547011667596;
;;TEEJET XR;bleu;;1.18;;2;1;3;11;1.01100833066325;2.89734962406018;;1.0287619882644;
;;TEEJET XR;bleu;;1.18;;2;1;4;12;1.05056581757984;2.97171052631582;;1.05555445257577;
;;TEEJET XR;bleu;;1.18;;2;1;5;13;1.05614103385667;2.86238486842108;;1.08123110262774;
;;TEEJET XR;bleu;;1.18;;2;1;6;14;1.05561006087793;2.90324013157897;;1.07305669583712;
;;TEEJET XR;bleu;;1.18;;2;1;7;15;1.06198173662288;2.81045112781957;;1.09720974612753;
;;TEEJET XR;bleu;;1.18;;2;1;8;16;1.07684898002777;2.81661184210529;;1.1113527486242;
;;TEEJET XR;bleu;;1.18;;3;1;1;17;0.9494154651287;2.96376644736845;;0.95520137845366;
;;TEEJET XR;bleu;;1.18;;3;1;2;18;0.98552162768344;2.81333333333336;;1.01769160239886;
;;TEEJET XR;bleu;;1.18;;3;1;3;19;1.02268973619567;2.86276315789476;;1.0469159465138;
;;TEEJET XR;bleu;;1.18;;3;1;4;20;1.0322472498131;2.85469298245616;;1.05819244881336;
;;TEEJET XR;bleu;;1.18;;3;1;5;21;1.05428262843106;2.80375000000002;;1.09055615874863;
