***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.56804123711339;1.56804123711339;1.56804123711339;4.53608247422571;0;
2;2.05360824742266;2.05360824742266;2.05360824742266;2.6804123711331;0;
3;2.98144329896905;2.98144329896905;2.98144329896905;0.61855670103172;0;
4;3.73608247422678;3.73608247422678;3.73608247422678;6.59793814433052;-2;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;-0.01;3.09;0.96153846153846;2990;
2;3.09;3.01;3.93617021276594;2.58899676375403;
3;-0.01;3.11;0.21390374331551;3010;
4;3.08;3.22;3.92684238838086;4.54545454545455;
5;3.07;3.16;1.66219839142093;2.93159609120521;
6;3.08;3.15;1.28617363344052;2.27272727272727;
7;-0.01;3.07;1.70757737459977;2970;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;lilas;;0.99;;1;1;1;1;0.66215908362704;3.22678571428574;;0.63846619237844;
;;TEEJET XR;lilas;;0.99;;1;1;2;2;0.72162805724661;3.21570723684213;;0.69700482788016;
;;TEEJET XR;lilas;;0.99;;1;1;3;3;0.69667232724554;3.20473684210529;;0.67405137807003;
;;TEEJET XR;lilas;;0.99;;1;1;4;4;0.56552200149525;3.18624269005851;;0.54874516540638;
;;TEEJET XR;lilas;;0.99;;1;1;5;5;0.77366340916373;3.25088815789476;;0.74321021518961;
;;TEEJET XR;lilas;;0.99;;1;1;6;6;0.76463686852505;3.22894736842108;;0.73703036179172;
;;TEEJET XR;lilas;;0.99;;1;1;7;7;0.7848138417174;3.21885964912283;;0.75766331718243;
;;TEEJET XR;lilas;;0.99;;1;1;8;8;0.76437138203567;3.20511513157897;;0.73950859989724;
;;TEEJET XR;lilas;;0.99;;2;1;1;9;0.75614130086511;3.21468045112785;;0.73045704636398;
;;TEEJET XR;lilas;;0.99;;2;1;2;10;0.72640681405533;3.00298245614038;;0.72604600364785;
;;TEEJET XR;lilas;;0.99;;2;1;3;11;0.79596427427107;3.00273026315792;;0.79560232265262;
;;TEEJET XR;lilas;;0.99;;2;1;4;12;0.80525630139913;3.02359022556394;;0.80210882208864;
;;TEEJET XR;lilas;;0.99;;2;1;5;13;0.79410586884546;3.03375000000003;;0.78967636245103;
;;TEEJET XR;lilas;;0.99;;2;1;6;14;0.79224746341985;3.00146929824564;;0.79205352668665;
;;TEEJET XR;lilas;;0.99;;2;1;7;15;0.79649524724981;3.03526315789476;;0.79185495894023;
;;TEEJET XR;lilas;;0.99;;2;1;8;16;0.79596427427107;3.01105263157897;;0.79450206337356;
;;TEEJET XR;lilas;;0.99;;3;1;1;17;0.77552181458934;3.05606907894739;;0.76837471057521;
;;TEEJET XR;lilas;;0.99;;3;1;2;18;0.82835362597458;3.04909774436093;;0.82165732566727;
;;TEEJET XR;lilas;;0.99;;3;1;3;19;0.8331323827833;3.04477443609025;;0.82698394887905;
;;TEEJET XR;lilas;;0.99;;3;1;4;20;0.80074303107978;3.04304511278198;;0.79505944213579;
;;TEEJET XR;lilas;;0.99;;3;1;5;21;0.82012354480402;3.04299707602342;;0.81430882229741;
;;TEEJET XR;lilas;;0.99;;3;1;6;22;0.81561027448468;3.06077067669176;;0.80747283262226;
;;TEEJET XR;lilas;;0.99;;3;1;7;23;0.81348638256969;3.05909539473687;;0.80559062715998;
;;TEEJET XR;lilas;;0.99;;3;1;8;24;0.81136249065471;3.0367763157895;;0.80643459822119;
