***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.8074034334764;1.66094420600859;1.86695278969958;20.4935622317602;-3;
2;2.45568669527898;2.31759656652362;2.53326180257512;22.7843347639491;-2;
3;3.38755364806869;3.23175965665238;3.62124463519315;12.9184549356228;-2;
4;4.47939914163092;4.29399141630903;4.64484978540775;11.9849785407731;-2;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;3.37;2.87;0.00000000000002;14.8367952522255;
2;3.37;2.87;0.00000000000002;14.8367952522255;
3;3.54;2.87;0.00000000000002;18.9265536723164;
4;3.54;2.87;0.00000000000002;18.9265536723164;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;bleu;;1.18;;1;1;1;1;1.16817633237211;3.13148026315791;;1.14338947716956;
;;TEEJET XR;bleu;;1.18;;1;1;2;2;1.29215852290933;3.10370300751881;;1.27038789037564;
;;TEEJET XR;bleu;;1.18;;1;1;3;3;1.26614084695077;3.12013157894738;;1.24152706820002;
;;TEEJET XR;bleu;;1.18;;1;1;4;4;1.22976919790666;3.07524122807019;;1.2146317919445;
;;TEEJET XR;bleu;;1.18;;1;1;5;5;1.22153911673609;3.14774671052633;;1.19252671449843;
;;TEEJET XR;bleu;;1.18;;1;1;6;6;1.20428249492684;3.14434210526317;;1.17631627384191;
;;TEEJET XR;bleu;;1.18;;1;1;7;7;1.1957869272669;3.1400187969925;;1.16882180413798;
;;TEEJET XR;bleu;;1.18;;1;1;8;8;1.21702584641675;3.06754934210528;;1.20355142211012;
;;TEEJET XR;bleu;;1.18;;1;1;9;9;1.23189308982164;2.99739766081873;;1.23242773829009;
;;TEEJET XR;bleu;;1.18;;1;1;10;10;1.1957869272669;3.03236842105264;;1.18938770831848;
;;TEEJET XR;bleu;;1.18;;2;1;1;11;1.183043575777;3.02215460526317;;1.17869931181548;
;;TEEJET XR;bleu;;1.18;;2;1;2;12;1.17030022428709;3.00244152046785;;1.16982429610597;
;;TEEJET XR;bleu;;1.18;;2;1;3;13;1.18516746769198;3.03107142857144;;1.17907726054372;
;;TEEJET XR;bleu;;1.18;;2;1;4;14;1.18729135960697;3.03798872180452;;1.17984472726452;
;;TEEJET XR;bleu;;1.18;;2;1;5;15;1.1899462245007;2.9782730263158;;1.19427876036269;
;;TEEJET XR;bleu;;1.18;;2;1;6;16;1.21038868418242;3.02480263157896;;1.20541602601179;
;;TEEJET XR;bleu;;1.18;;2;1;7;17;1.14693741322226;3.06868421052633;;1.13402922713319;
;;TEEJET XR;bleu;;1.18;;2;1;8;18;1.20428249492684;3.09175986842107;;1.18627703536039;
;;TEEJET XR;bleu;;1.18;;2;1;9;19;1.21277806258678;3.11206140350879;;1.1907425726939;
;;TEEJET XR;bleu;;1.18;;2;1;10;20;1.2066718733312;3.06717105263159;;1.19338567037185;
;;TEEJET XR;bleu;;1.18;;3;1;1;21;1.23640636014098;3.07057565789475;;1.22211466754545;
;;TEEJET XR;bleu;;1.18;;3;1;2;22;1.21702584641675;3.09213815789475;;1.19875652440701;
;;TEEJET XR;bleu;;1.18;;3;1;3;23;1.19791081918189;3.07019736842107;;1.18413704280798;
;;TEEJET XR;bleu;;1.18;;3;1;4;24;1.21277806258678;3.05926900584797;;1.20097267578078;
;;TEEJET XR;bleu;;1.18;;3;1;5;25;1.09888435864574;3.05771381578949;;1.08846432990615;
;;TEEJET XR;bleu;;1.18;;3;1;6;26;1.1899462245007;3.08797697368422;;1.17287285786306;
;;TEEJET XR;bleu;;1.18;;3;1;7;27;1.2233975221617;3.08722039473686;;1.20599194365837;
;;TEEJET XR;bleu;;1.18;;3;1;8;28;1.23614087365161;3.09635338345866;;1.21675554475553;
;;TEEJET XR;bleu;;1.18;;3;1;9;29;1.23189308982164;3.05456140350879;;1.22084131088352;
;;TEEJET XR;bleu;;1.18;;3;1;10;30;1.20640638684183;3.08936403508773;;1.18882987946457;
;;TEEJET XR;bleu;;1.18;;4;1;1;31;1.23640636014098;3.06074013157896;;1.22407669297393;
;;TEEJET XR;bleu;;1.18;;4;1;2;32;1.24463644131155;3.07516917293234;;1.22933043444893;
;;TEEJET XR;bleu;;1.18;;4;1;3;33;1.0726011961978;2.94195723684212;;1.08313035315213;
;;TEEJET XR;bleu;;1.18;;4;1;4;34;1.13419406173235;2.89719298245615;;1.15414210262719;
;;TEEJET XR;bleu;;1.18;;4;1;5;35;1.12569849407241;2.93898496240603;;1.13732354611351;
;;TEEJET XR;bleu;;1.18;;4;1;6;36;1.1554329808822;2.92871710526317;;1.16940965573667;
;;TEEJET XR;bleu;;1.18;;4;1;7;37;1.17030022428709;2.87937134502925;;1.19456304824078;
;;TEEJET XR;bleu;;1.18;;4;1;8;38;1.20295506247998;2.9331725146199;;1.21658155624241;
;;TEEJET XR;bleu;;1.18;;4;1;9;39;1.19180462992631;2.9207730263158;;1.20786053336322;
;;TEEJET XR;bleu;;1.18;;4;1;10;40;1.18622941364947;2.91472039473686;;1.20345779986589;

***Vitesse***
Parcours;Distance;Temps;Vitesse mesuree(km/h);Vitesse compteur(km/h);
1;137.79;53;9.35932075471698;10;
2;57.18;20;10.2924;10;

***Debit***
Mesure;Debit theorique ( L/min);Debit affiche(L/min);erreur(%);
1;0;0;100

