***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.12982832618026;1.12982832618026;1.12982832618026;24.6781115879824;-3;
2;1.89656652360516;1.87017167381975;1.92811158798284;5.17167381974206;-2;
3;3.02832618025752;2.97746781115881;3.06115879828328;0.94420600858417;0;
4;3.06405579399143;3.04506437768242;3.08369098712448;23.3986051502142;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;3.14;2.48;23.4173957797221;21.0191082802548;
2;3.14;2.45;24.4604316546763;21.9745222929936;
3;3.14;2.45;24.4604316546763;21.9745222929936;
4;3.14;2.45;24.4604316546763;21.9745222929936;
5;3.42;4.05;36.0582306830907;18.4210526315789;
6;3.42;4.05;36.0582306830907;18.4210526315789;
7;3.41;3.98;33.1846068042387;16.7155425219941;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;marron;;1.97;;1;1;1;1;1.65879536473353;2.70060855263159;;1.74832682509104;
;;TEEJET XR;marron;;1.97;;1;1;2;2;1.66941482430845;2.69846491228071;;1.76021819287878;
;;TEEJET XR;marron;;1.97;;1;1;3;3;1.64605201324362;2.56782894736843;;1.77918511462482;
;;TEEJET XR;marron;;1.97;;1;1;4;4;0.1555796281986;2.69751547987617;;0.1640708333037;
;;TEEJET XR;marron;;1.97;;1;1;5;5;1.68242366228773;2.67450657894738;;1.78186238459548;
;;TEEJET XR;marron;;1.97;;1;1;6;6;1.62667149951939;2.68563909774437;;1.71924060413668;
;;TEEJET XR;marron;;1.97;;1;1;7;7;1.63968033749867;2.69678362573101;;1.72940521739748;
;;TEEJET XR;marron;;1.97;;1;1;8;8;0.26260191712058;2.70466165413535;;0.27656807558301;
;;TEEJET XR;marron;;1.97;;2;1;1;9;1.20853027875681;2.72757518796994;;1.26744697022621;
;;TEEJET XR;marron;;1.97;;2;1;2;10;1.4501229840863;2.39343750000001;;1.62350794325197;
;;TEEJET XR;marron;;1.97;;2;1;3;11;1.52074239025954;2.35548245614036;;1.71623337125915;
;;TEEJET XR;marron;;1.97;;2;1;4;12;1.64180422941365;2.38019736842106;;1.84321294622175;
;;TEEJET XR;marron;;1.97;;2;1;5;13;1.65083077005234;2.39419407894738;;1.847921448625;
;;TEEJET XR;marron;;1.97;;2;1;6;14;1.65268917547795;2.39078947368422;;1.85131850625655;
;;TEEJET XR;marron;;1.97;;2;1;7;15;1.62295468866816;2.36128289473685;;1.82933402310382;
;;TEEJET XR;marron;;1.97;;2;1;8;16;1.62056531026381;2.40138157894738;;1.8113258208681;
;;TEEJET XR;marron;;1.97;;3;1;1;17;1.4333973352558;2.11615131578948;;1.70668692256655;
;;TEEJET XR;marron;;1.97;;3;1;2;18;1.53375122823882;2.13398496240602;;1.81852750256039;
;;TEEJET XR;marron;;1.97;;3;1;3;19;1.6078219587739;2.10480263157896;;1.91952111622337;
;;TEEJET XR;marron;;1.97;;3;1;4;20;1.54490166079248;2.11842105263159;;1.83846482721574;
;;TEEJET XR;marron;;1.97;;3;1;5;21;1.56906093132543;2.10404605263159;;1.87358247551792;
;;TEEJET XR;marron;;1.97;;3;1;6;22;1.37206995621062;2.11917763157896;;1.63250004369168;
;;TEEJET XR;marron;;1.97;;3;1;7;23;1.47401676812988;2.12514619883042;;1.75133265319912;
;;TEEJET XR;marron;;1.97;;3;1;8;24;1.52817601196198;2.11993421052633;;1.81791182195343;
;;TEEJET XR;marron;;1.97;;4;1;1;25;1.16207014311652;1.88993421052632;;1.46409624640712;
;;TEEJET XR;marron;;1.97;;4;1;2;26;1.3338399017409;1.89966165413535;;1.67620142055182;
;;TEEJET XR;marron;;1.97;;4;1;3;27;1.42516725408523;1.90430921052632;;1.78878328667814;
;;TEEJET XR;marron;;1.97;;4;1;4;28;1.4501229840863;1.89598684210527;;1.82409647415472;
;;TEEJET XR;marron;;1.97;;4;1;5;29;1.47614066004486;1.86057894736843;;1.87440881951154;
;;TEEJET XR;marron;;1.97;;4;1;6;30;1.56720252589982;1.88842105263159;;1.97531487237583;
;;TEEJET XR;marron;;1.97;;4;1;7;31;1.49100790344975;1.90203947368422;;1.87253873422778;
;;TEEJET XR;marron;;1.97;;4;1;8;32;1.50587514685464;1.93424812030076;;1.87539822799526;
;;TEEJET XR;marron;;1.97;;5;1;1;33;1.35534430738012;2.57804276315791;;1.46206003152938;
;;TEEJET XR;marron;;1.97;;5;1;2;34;1.36357438855068;2.56804511278197;;1.47379859602946;
;;TEEJET XR;marron;;1.97;;5;1;3;35;1.57171579621916;2.57501644736843;;1.69646397492273;
;;TEEJET XR;marron;;1.97;;5;1;4;36;1.6078219587739;2.55983082706768;;1.74057583866632;
;;TEEJET XR;marron;;1.97;;5;1;5;37;1.48357428174731;2.59095864661655;;1.59639251460073;
;;TEEJET XR;marron;;1.97;;5;1;6;38;1.57383968813415;2.5542105263158;;1.70566121857768;
;;TEEJET XR;marron;;1.97;;5;1;7;39;1.5802113638791;2.58144736842106;;1.70350797297928;
;;TEEJET XR;marron;;1.97;;5;1;8;40;1.5467600662181;2.58750000000001;;1.66549525295622;
;;TEEJET XR;marron;;1.97;;6;1;1;41;1.60569806685892;2.23342105263159;;1.86096930155994;
;;TEEJET XR;marron;;1.97;;6;1;2;42;1.55684855281427;2.5613980263158;;1.68487799918829;
;;TEEJET XR;marron;;1.97;;6;1;3;43;1.65667147281854;2.55307565789475;;1.79582982023257;
;;TEEJET XR;marron;;1.97;;6;1;4;44;1.49313179536474;2.57971804511279;;1.61017340869971;
;;TEEJET XR;marron;;1.97;;6;1;5;45;1.52631760653637;2.54513157894738;;1.65710650276361;
;;TEEJET XR;marron;;1.97;;6;1;6;46;1.59083082345402;2.57388157894738;;1.7174746820197;
;;TEEJET XR;marron;;1.97;;6;1;7;47;1.6118042561145;2.54437500000001;;1.75017858569691;
;;TEEJET XR;marron;;1.97;;6;1;8;48;1.6118042561145;2.44055555555557;;1.78701655772704;
;;TEEJET XR;marron;;1.97;;7;1;1;49;1.46339730855495;2.58346491228071;;1.57696333368391;
;;TEEJET XR;marron;;1.97;;7;1;2;50;1.60357417494393;2.78307565789475;;1.66489624739165;
;;TEEJET XR;marron;;1.97;;7;1;3;51;1.61631752643384;2.79530701754387;;1.67445142025207;
;;TEEJET XR;marron;;1.97;;7;1;4;52;1.63224671579622;2.78572368421054;;1.69385961040319;
;;TEEJET XR;marron;;1.97;;7;1;5;53;1.38693719961551;2.76567434210528;;1.44449786319419;
;;TEEJET XR;marron;;1.97;;7;1;6;54;1.64339714834989;2.7626480263158;;1.71253863389139;
;;TEEJET XR;marron;;1.97;;7;1;7;55;1.64817590515861;2.71195723684212;;1.73349570376041;
;;TEEJET XR;marron;;1.97;;7;1;8;56;1.63968033749867;2.76226973684212;;1.70878244410662;

***Vitesse***
Parcours;Distance;Temps;Vitesse mesuree(km/h);Vitesse compteur(km/h);
1;0;0;0;0;
2;0;0;0;0;

***Debit***
Mesure;Debit theorique ( L/min);Debit affiche(L/min);erreur(%);
1;34.772654924578;121;247.974580205191

