***Manometre***
Pression mano(Bars);Pression moyenne(Bars);Pression min(Bars);Pression max(Bars);Erreur(%);Resultat;
1.5;1.48390557939915;1.48390557939915;1.48390557939915;1.07296137339009;0;
2;2.00439914163091;1.89592274678113;2.15021459227469;0.21995708154559;0;
3;3.08079399141632;2.93240343347641;3.18991416309014;2.6931330472108;0;
4;3.05278969957083;2.92274678111589;3.18669527896997;23.6802575107293;-3;

***Ecart pression***
Troncon;P1(Bars);P2(Bars);Erreur equilibre(%);Erreur perte de charge(%);
1;3.04;3.05;0;0.32894736842106;
2;3.04;3.05;0;0.32894736842106;
3;3.04;3.05;0;0.32894736842106;
4;3.02;3.05;0;0.99337748344372;
5;3.02;3.05;0;0.99337748344372;
6;3.02;3.05;0;0.99337748344372;
7;3.02;3.05;0;0.99337748344372;

***Controle buse***
Ref;H/V;Marque/Type Modele (ou fonctionnement);Calibre;Pression de controle ( bar );Debit nominal (l/min);Jeu;Troncon;Niveau;Buse troncon;Numero Buse;Debit mesure (l/min);Pression mesuree (bar);L/R;Debit equivalent@3Bars
;;TEEJET XR;Jaune;;0.79;;1;1;1;1;0.79410586884546;3.08759868421054;;0.78275997276293;
;;TEEJET XR;Jaune;;0.79;;1;1;2;2;0.80711470682474;3.06807894736843;;0.7981097620855;
;;TEEJET XR;Jaune;;0.79;;1;1;3;3;0.81985805831464;3.04951754385966;;0.81317445807812;
;;TEEJET XR;Jaune;;0.79;;1;1;4;4;0.78799967958988;3.04317669172934;;0.78238962681838;
;;TEEJET XR;Jaune;;0.79;;1;1;5;5;0.76251297661006;3.0406907894737;;0.75739378496477;
;;TEEJET XR;Jaune;;0.79;;1;1;6;6;0.72853070597031;3.09107894736844;;0.71771734148693;
;;TEEJET XR;Jaune;;0.79;;1;1;7;7;0.75189351703514;3.03589912280703;;0.74743477399139;
;;TEEJET XR;Jaune;;0.79;;1;1;8;8;0.76437138203567;3.15228618421054;;0.74567953961782;
;;TEEJET XR;Jaune;;0.79;;2;1;1;9;0.75507935490762;3.08041118421054;;0.7451588738817;
;;TEEJET XR;Jaune;;0.79;;2;1;2;10;0.75826519278009;3.07776315789475;;0.74862469598559;
;;TEEJET XR;Jaune;;0.79;;2;1;3;11;0.75322094948201;3.05355263157896;;0.74658681009508;
;;TEEJET XR;Jaune;;0.79;;2;1;4;12;0.75189351703514;3.1372807017544;;0.73525888044456;
;;TEEJET XR;Jaune;;0.79;;2;1;5;13;0.77100854427;3.09629934210528;;0.75892410653652;
;;TEEJET XR;Jaune;;0.79;;2;1;6;14;0.77180500373812;3.06969298245615;;0.76299333895969;
;;TEEJET XR;Jaune;;0.79;;2;1;7;15;0.76888465235502;3.05182330827069;;0.76232844778286;
;;TEEJET XR;Jaune;;0.79;;2;1;8;16;0.78109703086618;3.06376644736843;;0.77292576852693;
